Village_ID,Village_Name,District,State,Year,MGNREGA_Workers,Skill_Dev_Participants,Avg_Daily_Wage_INR,Unemployment_Rate_Pct,Irrigated_Area_Hectares,Crop_Yield_MT_per_Hec,Fertilizer_Usage_Tons,Tractor_Availability,Primary_Schools,School_Dropout_Rate_Pct,Primary_Health_Centres,Clean_Water_Access_Pct,Electrification_Pct,Internet_Penetration_Pct,Paved_Roads_KM,Bank_Branches
10003,Varanasi_Village_3,Varanasi,Uttar Pradesh,2025,264,5,301,10.3,498,3.88,46,2,2,11.9,1,69.5,82.4,42.6,6.9,0
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2022,124,16,254,8.2,138,3.03,50,7,0,5.7,0,52.2,53.2,47.1,11.7,0
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2023,252,28,296,10.1,570,2.35,70,11,2,5.3,0,63.8,69.9,40.4,8.8,1
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2024,137,38,336,7.7,178,4.49,60,11,1,19.3,0,87.2,59.2,60.9,10.5,0
10004,Varanasi_Village_4,Varanasi,Uttar Pradesh,2025,166,12,346,6.5,193,4.8,17,5,2,1.2,1,73.2,71.5,32.6,17.3,0
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2022,149,22,346,13.5,783,1.67,67,10,1,11.0,1,89.1,58.2,25.8,17.2,0
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2023,153,9,325,12.0,142,3.52,70,13,3,14.8,1,41.6,63.1,30.9,2.4,0
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2024,201,30,336,7.3,231,3.05,42,4,1,6.3,0,62.5,92.4,44.9,11.8,0
10005,Varanasi_Village_5,Varanasi,Uttar Pradesh,2025,180,34,346,7.9,176,3.53,28,4,3,5.0,1,51.0,95.1,48.2,19.1,1
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2022,199,17,202,11.8,331,2.62,39,2,3,20.5,0,51.9,85.2,23.1,10.0,0
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2023,102,23,362,12.6,138,3.07,87,12,3,9.3,0,80.4,85.5,56.9,4.0,0
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2024,51,33,254,10.9,665,2.77,23,9,0,2.8,1,85.5,66.8,67.3,2.2,0
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2025,137,7,319,9.0,250,2.3,45,1,1,14.9,1,40.9,78.7,66.8,9.3,2
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2022,285,30,260,14.5,799,2.41,16,1,3,24.1,1,87.2,72.1,45.0,17.8,2
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2023,207,16,337,12.2,518,3.66,43,4,1,20.1,0,85.3,78.2,45.4,18.1,1
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2024,87,6,284,4.9,285,1.95,59,3,2,13.0,0,90.3,96.1,38.8,13.9,0
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2025,179,15,283,9.2,417,3.1,41,9,1,9.0,1,61.6,100.0,73.9,19.2,0
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2022,241,32,282,8.8,563,1.63,51,13,1,23.5,1,59.8,60.4,42.4,3.3,1
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2023,237,22,248,12.4,531,2.72,42,7,1,18.8,1,43.1,73.2,60.5,8.7,1
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2024,70,17,342,4.2,234,2.06,23,11,1,13.4,1,59.8,62.1,44.6,16.3,0
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2025,210,26,394,7.6,602,2.97,98,2,0,18.1,1,46.6,88.6,48.6,17.1,1
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2022,253,16,226,7.8,784,4.01,37,4,3,17.0,0,81.8,77.5,13.8,3.6,1
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2023,107,6,363,5.6,368,3.49,48,5,3,23.0,0,67.9,93.3,32.9,12.6,0
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2024,71,11,260,7.7,536,3.85,40,10,3,19.2,0,44.2,79.9,41.3,14.0,2
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2025,285,30,381,10.4,726,3.46,33,12,2,11.5,0,91.7,95.0,52.7,6.0,0
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2022,138,30,282,8.3,597,4.27,13,14,2,23.5,1,34.8,65.3,33.8,2.6,2
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2023,98,28,224,10.2,650,3.27,87,4,1,10.3,1,88.6,85.8,61.9,2.4,0
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2024,268,16,269,9.9,439,2.11,18,13,0,16.0,1,42.3,56.9,47.4,8.5,2
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2025,108,20,298,9.5,341,4.75,79,14,0,3.9,1,82.1,64.8,70.3,4.3,2
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2022,219,27,334,10.1,320,1.9,33,4,1,22.9,1,68.7,71.5,16.4,12.3,2
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2023,269,13,218,5.3,757,4.65,99,4,1,8.5,1,80.0,95.1,44.6,6.5,0
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2024,237,36,372,6.0,775,3.11,74,8,3,21.0,0,69.9,97.5,48.9,8.1,2
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2025,257,19,250,11.7,460,2.17,96,7,2,0.8,1,60.0,86.2,35.8,8.2,2
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2022,64,17,272,9.8,289,4.09,26,4,2,18.6,1,46.5,56.2,22.3,18.8,2
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2023,239,9,272,11.5,512,1.93,46,11,2,6.5,1,89.7,85.2,41.0,17.5,0
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2024,239,15,306,9.7,428,2.32,59,1,2,17.4,0,62.5,63.5,48.1,13.7,0
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2025,224,14,263,3.7,321,3.2,54,6,1,10.3,1,89.5,74.3,73.0,4.8,2
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2022,239,17,261,12.9,785,3.53,29,5,1,23.2,1,73.4,65.1,18.2,3.4,0
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2023,100,19,285,4.8,191,2.01,68,11,2,17.8,0,72.4,95.0,31.2,8.4,0
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2024,157,11,367,13.6,539,3.67,68,5,3,17.4,0,94.2,88.3,34.0,12.3,1
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2025,104,32,269,5.6,205,4.29,99,11,3,2.9,0,72.9,60.9,67.1,15.0,1
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2022,293,36,326,9.9,344,1.87,20,12,3,6.9,1,74.0,90.5,20.8,2.4,0
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2023,113,39,272,4.8,404,3.59,64,6,2,20.5,1,84.0,73.2,60.9,5.5,0
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2024,298,19,349,13.1,654,4.68,93,12,3,6.5,0,38.8,91.2,68.5,9.9,1
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2025,180,25,355,13.6,697,4.85,74,8,1,17.8,1,98.8,94.8,33.6,8.5,0
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2022,278,10,275,6.0,196,1.98,86,6,2,7.9,1,45.7,97.9,20.8,10.2,0
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2023,100,5,284,7.2,576,3.93,67,14,3,9.7,1,75.2,69.2,35.2,7.9,2
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2024,184,8,367,3.9,365,4.34,53,6,1,20.6,0,93.2,96.5,65.4,12.6,0
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2025,70,15,310,11.6,674,4.62,86,7,2,17.3,0,84.8,71.3,34.1,17.6,0
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2022,122,30,319,7.8,202,2.47,23,11,1,6.1,1,43.8,97.8,27.2,3.5,0
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2023,216,27,301,10.3,353,2.46,85,8,3,12.5,0,54.7,72.2,51.1,7.3,0
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2024,67,33,368,4.1,554,1.94,61,4,0,20.2,0,60.9,86.7,58.2,6.8,0
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2025,181,25,366,10.8,612,3.15,43,7,3,0.8,1,74.2,100.0,45.8,11.8,1
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2022,138,31,248,10.1,765,1.87,72,8,1,7.1,0,66.2,59.6,58.2,18.1,1
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2023,109,17,262,11.7,592,4.01,36,6,0,16.4,1,80.3,82.5,33.6,16.8,1
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2024,63,27,344,12.0,360,2.23,21,9,0,4.1,1,87.6,100.0,52.7,18.2,0
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2025,291,20,331,4.2,134,4.41,47,13,2,9.5,0,44.4,100.0,58.8,5.8,0
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2022,299,34,206,10.6,480,1.82,65,6,0,15.2,1,46.4,60.6,50.0,8.2,2
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2023,58,8,291,10.9,496,3.09,74,4,2,20.7,0,53.6,57.2,33.8,7.0,2
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2024,139,20,374,9.1,126,2.95,99,14,0,21.1,0,36.8,75.5,42.5,11.8,0
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2025,102,35,365,5.2,405,3.75,49,6,0,10.7,1,64.1,94.1,48.9,14.1,0
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2022,179,29,323,12.9,798,3.06,30,2,2,15.2,0,51.5,87.9,12.9,9.5,2
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2023,133,16,364,14.6,770,3.45,41,11,1,18.0,1,64.5,81.7,52.6,7.5,0
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2024,141,30,370,13.9,680,1.8,98,8,2,5.9,1,42.0,84.5,60.4,13.4,0
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2025,160,37,369,11.5,264,2.33,21,14,0,19.3,1,63.8,63.3,69.0,11.0,1
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2022,237,32,211,8.9,357,3.05,98,11,3,5.0,0,65.8,71.2,45.7,16.9,1
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2023,248,13,285,7.6,201,2.34,35,6,2,3.5,1,81.2,80.2,45.6,3.0,0
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2024,221,16,230,4.4,554,2.03,45,4,2,14.5,1,82.0,87.8,50.2,15.2,0
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2025,57,9,363,7.7,292,2.6,25,7,0,7.3,0,63.3,61.9,60.2,14.5,0
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2022,224,32,341,6.1,398,3.84,87,8,0,13.0,1,53.4,83.2,10.4,17.6,0
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2023,84,39,325,6.8,120,3.28,43,3,3,7.9,1,35.2,97.7,38.4,17.2,0
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2024,255,9,293,13.1,144,2.37,33,10,0,10.2,1,41.0,92.7,24.0,4.7,0
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2025,130,38,287,13.5,579,2.0,81,3,2,17.1,0,91.3,87.4,52.4,13.5,0
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2022,213,38,240,14.5,595,2.57,48,10,2,19.0,0,78.4,54.7,17.4,12.9,0
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2023,99,17,329,6.1,782,2.72,73,3,2,5.4,0,34.3,90.6,16.5,14.5,0
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2024,153,18,268,13.2,789,4.01,86,3,1,3.1,1,89.0,86.8,58.5,19.7,0
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2025,181,15,245,4.8,322,4.71,38,2,2,10.6,1,75.8,83.8,63.2,4.0,0
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2022,51,8,240,9.8,398,2.62,40,5,1,19.6,0,78.1,88.5,29.3,13.3,0
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2023,183,37,302,10.9,580,3.71,72,6,0,16.8,1,63.2,84.9,19.3,12.7,0
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2024,103,11,327,8.6,123,3.7,52,1,1,19.3,0,45.0,77.5,70.7,2.1,0
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2025,155,12,332,13.3,437,3.22,28,6,2,3.2,1,60.4,68.8,35.5,13.9,2
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2022,53,14,278,8.0,183,1.7,19,7,0,17.1,0,57.0,74.2,34.4,10.9,1
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2023,103,19,355,9.6,159,3.07,65,2,1,18.8,1,78.2,59.9,29.6,15.9,0
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2024,270,19,300,4.5,387,2.86,69,1,0,20.8,1,84.8,57.9,28.6,15.6,0
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2025,240,9,381,12.2,733,3.6,52,7,0,2.5,1,83.5,68.7,53.6,2.8,2
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2022,195,33,298,8.8,616,1.88,57,6,1,9.8,1,58.6,67.6,19.8,16.0,1
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2023,267,23,301,11.5,253,3.82,49,14,0,10.6,0,72.8,83.5,34.0,18.1,0
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2024,93,14,230,10.9,380,4.16,43,3,0,12.8,1,53.7,79.0,52.3,13.4,1
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2025,211,16,386,10.4,533,3.12,10,13,2,8.7,0,98.3,92.8,47.3,17.6,0
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2022,251,8,311,9.8,441,2.03,28,2,3,22.2,1,40.1,85.4,36.0,5.7,1
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2023,239,35,288,7.0,185,3.52,10,13,3,22.5,1,76.4,86.4,27.6,18.2,0
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2024,277,22,294,10.3,686,4.67,97,2,0,3.4,0,45.3,81.3,56.8,18.8,2
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2025,63,20,313,13.4,290,4.05,34,14,1,14.5,1,55.9,89.3,59.7,7.1,1
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2022,144,29,266,13.3,351,1.87,77,12,3,7.3,0,74.9,96.9,44.6,8.2,1
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2023,97,27,264,5.2,167,2.84,97,2,1,21.5,1,76.7,86.4,33.0,14.8,0
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2024,64,16,287,3.9,245,4.55,93,8,3,4.8,0,43.5,90.6,69.0,8.0,0
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2025,249,38,297,8.5,733,3.85,37,1,2,20.3,1,79.7,71.5,59.2,19.8,1
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2022,255,7,290,12.6,653,1.94,54,12,2,13.6,1,42.2,72.9,16.4,7.2,0
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2023,264,13,329,7.4,761,3.82,33,3,1,11.1,0,91.4,73.4,64.8,2.5,2
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2024,298,22,347,11.1,673,2.86,53,8,1,13.7,1,72.2,72.0,50.4,16.7,2
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2025,239,39,301,13.1,354,3.42,11,6,2,8.4,1,39.2,79.6,62.9,2.8,0
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2022,89,38,285,9.3,230,2.75,32,7,1,9.7,0,42.5,78.7,28.6,19.5,0
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2023,262,18,232,6.7,476,3.83,87,2,0,16.1,1,46.8,82.5,38.1,12.8,0
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2024,257,8,245,13.3,631,2.45,71,14,2,16.6,1,50.8,95.3,58.6,9.9,1
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2025,286,33,374,8.3,298,3.12,24,9,2,19.4,1,72.4,89.0,71.3,15.2,0
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2022,131,19,212,8.8,320,3.73,41,7,2,13.2,1,42.3,91.7,58.0,14.9,0
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2023,160,32,294,7.8,509,3.76,96,3,2,17.6,1,57.8,84.0,65.5,9.0,2
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2024,102,20,272,8.1,742,2.41,13,9,0,18.7,1,46.4,71.8,51.8,5.9,0
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2025,73,16,298,10.4,270,3.0,93,3,2,17.1,1,79.0,87.8,32.4,17.2,2
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2022,203,9,336,9.1,244,1.54,40,14,2,5.7,1,64.1,85.0,38.9,18.6,0
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2023,266,38,287,7.5,587,3.24,68,10,1,10.6,1,70.7,85.4,26.2,19.9,0
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2024,237,5,277,11.5,453,2.64,80,8,2,2.3,1,94.0,95.8,54.4,8.5,2
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2025,173,36,262,5.4,280,1.99,10,7,3,11.7,0,63.0,100.0,44.8,12.4,0
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2022,286,30,210,6.6,260,2.77,78,13,1,22.3,0,42.9,66.1,36.1,19.7,1
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2023,90,21,298,11.4,563,4.43,23,3,1,19.8,1,92.9,56.3,49.0,9.4,0
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2024,206,31,248,12.8,159,4.57,32,14,3,18.2,0,39.5,86.5,67.4,16.2,0
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2025,64,28,344,5.8,314,3.07,80,5,1,7.5,1,87.6,62.8,67.6,18.9,0
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2022,94,39,315,6.5,679,2.85,25,7,0,5.9,0,39.7,92.4,11.1,5.3,0
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2023,114,30,304,11.1,291,2.38,18,3,2,6.9,1,72.9,92.0,23.7,15.0,0
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2024,138,27,303,10.2,587,2.0,40,13,2,15.4,0,64.4,89.2,65.4,14.7,1
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2025,120,26,268,8.0,324,4.03,70,2,1,3.2,1,89.3,100.0,65.2,9.0,0
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2022,58,8,212,5.5,491,3.9,54,9,2,7.5,0,73.9,92.6,17.4,19.7,2
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2023,137,13,339,5.1,260,4.29,16,2,1,10.6,0,43.3,96.8,45.4,17.6,2
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2024,178,8,345,11.9,554,4.61,66,3,2,3.9,1,75.9,90.3,51.4,19.9,0
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2025,285,11,315,8.0,210,4.7,73,12,1,7.1,1,52.0,75.2,66.7,11.9,1
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2022,185,27,325,13.5,158,1.58,11,1,1,24.4,0,40.2,52.3,50.7,6.0,0
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2023,265,6,359,10.1,644,4.58,15,13,1,3.9,0,38.0,55.5,49.7,7.0,1
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2024,112,28,348,10.2,652,2.94,70,1,0,18.6,0,42.8,93.1,57.7,16.2,0
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2025,188,35,335,13.1,772,4.61,43,1,1,20.4,0,81.2,66.7,61.3,8.5,0
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2022,292,35,284,6.2,128,2.82,26,10,0,13.7,1,89.5,65.0,17.5,5.9,0
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2023,130,38,322,9.8,284,2.92,35,3,0,22.4,1,73.5,80.6,50.2,18.6,0
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2024,185,28,356,4.3,323,1.83,85,14,3,7.2,0,78.5,61.3,45.6,8.1,2
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2025,212,30,365,7.1,456,2.11,29,6,1,20.1,1,86.0,100.0,76.9,3.5,1
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2022,212,20,328,6.1,591,3.51,50,10,0,22.2,1,83.3,89.2,45.4,12.2,1
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2023,82,17,220,6.1,697,4.46,67,3,3,21.2,0,49.1,80.6,34.7,11.9,1
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2024,172,19,307,13.5,677,2.47,63,4,2,4.6,0,72.3,98.6,67.5,9.6,0
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2025,54,31,282,9.7,213,2.23,38,2,0,17.9,0,52.0,81.2,39.5,10.0,0
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2022,283,8,315,13.9,477,2.14,57,7,0,23.8,1,61.5,93.1,33.4,6.0,0
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2023,280,20,316,8.8,384,2.29,86,4,0,19.9,0,45.5,92.1,19.2,7.3,0
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2024,299,34,237,10.0,196,2.68,99,11,3,3.8,0,39.8,55.7,53.4,10.8,2
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2025,90,34,322,3.6,223,2.23,31,1,3,2.2,0,44.3,95.7,55.9,19.5,0
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2022,77,7,311,9.4,255,2.21,81,4,0,12.2,0,88.6,87.6,35.2,19.6,2
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2023,184,26,362,10.0,209,4.41,80,4,1,17.6,0,33.4,67.7,26.3,3.6,1
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2024,250,26,284,3.9,152,4.47,14,11,3,2.2,0,77.4,78.7,46.7,18.3,0
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2025,121,16,292,11.6,273,2.9,61,3,3,19.5,0,92.2,64.1,51.0,9.9,1
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2022,61,25,287,7.6,778,4.49,10,8,2,15.5,1,53.6,82.0,11.1,10.3,1
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2023,211,8,224,8.9,687,2.55,54,7,2,10.7,0,75.5,84.9,24.1,8.5,2
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2024,82,35,281,9.3,413,3.97,49,10,0,13.2,0,56.9,100.0,67.1,17.8,0
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2025,97,35,278,13.7,793,3.88,73,10,2,14.8,0,70.7,92.2,67.4,10.2,0
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2022,296,27,260,5.5,489,1.69,20,3,1,10.5,1,86.1,71.5,16.0,2.1,0
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2023,200,24,358,9.9,144,2.68,61,4,0,9.3,1,35.5,61.2,64.6,18.8,0
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2024,111,19,308,9.3,762,4.65,16,8,0,11.4,0,52.0,92.8,45.3,19.5,0
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2025,265,27,262,4.0,216,2.1,60,13,3,13.9,1,45.4,74.5,65.5,9.8,1
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2022,86,32,270,11.2,221,2.02,30,10,0,19.1,1,59.8,95.3,37.1,9.9,0
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2023,148,20,300,7.1,581,4.56,48,3,2,10.0,0,79.2,65.8,54.2,2.3,2
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2024,221,25,261,4.8,269,1.92,53,5,0,8.4,0,94.6,64.4,55.1,5.6,0
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2025,153,19,287,5.2,777,3.29,66,5,0,10.2,1,48.3,87.3,31.3,4.2,1
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2022,263,21,282,13.1,499,4.26,50,5,2,15.8,0,32.6,94.0,55.7,16.3,0
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2023,268,17,283,5.2,760,4.48,48,5,3,16.5,0,41.3,59.3,54.4,11.3,0
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2024,84,23,279,8.6,599,4.74,29,9,1,14.4,0,94.1,57.0,33.1,7.2,2
