Village_ID,Year,Electrification_Pct,Internet_Penetration_Pct,Paved_Roads_KM,Bank_Branches
10098,2022,88.7,21.4,9.6,1
10098,2023,78.0,31.6,3.7,0
10098,2024,83.1,58.8,15.1,2
10098,2025,94.3,38.0,18.2,1
10099,2022,55.8,56.1,7.6,2
10099,2023,55.9,48.0,17.1,2
10099,2024,84.9,59.4,12.6,1
10099,2025,100.0,33.9,9.3,1
10100,2022,80.9,51.1,16.6,0
10100,2023,86.3,44.4,16.2,0
10100,2024,86.6,60.5,18.9,2
10100,2025,86.6,31.6,18.9,1
10101,2022,59.5,40.4,14.6,0
10101,2023,92.8,50.5,18.4,0
10101,2024,82.7,46.7,3.0,1
10101,2025,100.0,69.8,5.4,0
10102,2022,53.3,57.0,7.5,0
10102,2023,66.8,27.1,16.3,0
10102,2024,59.8,25.0,2.8,2
10102,2025,98.7,66.7,15.6,2
10103,2022,89.3,34.0,14.1,0
10103,2023,89.6,18.9,17.8,1
10103,2024,87.6,26.5,2.8,0
10103,2025,62.6,39.4,13.2,0
10104,2022,69.5,10.2,3.8,1
10104,2023,86.3,39.5,3.0,0
10104,2024,72.3,40.5,19.1,0
10104,2025,92.0,30.3,6.0,2
10105,2022,63.7,22.1,5.4,1
10105,2023,78.6,53.0,17.7,0
10105,2024,72.0,62.4,7.6,2
10105,2025,100.0,28.2,17.3,1
10106,2022,71.2,15.3,14.1,0
10106,2023,66.3,65.9,5.4,0
10106,2024,57.7,54.4,11.4,1
10106,2025,64.5,62.2,13.9,2
10107,2022,77.1,29.0,15.0,0
10107,2023,86.2,41.2,10.7,0
10107,2024,100.0,47.4,8.4,2
10107,2025,86.1,45.4,19.1,0
10108,2022,82.7,44.5,9.5,0
10108,2023,82.3,44.6,14.5,1
10108,2024,98.3,69.2,17.1,0
10108,2025,72.0,28.3,5.0,0
10109,2022,79.0,54.3,10.7,1
10109,2023,98.6,63.5,11.9,1
10109,2024,55.3,29.4,12.3,2
10109,2025,70.5,39.1,4.7,0
10110,2022,86.4,12.5,2.5,2
10110,2023,75.1,27.8,14.0,0
10110,2024,63.1,54.0,13.2,0
10110,2025,84.9,38.8,14.6,0
10111,2022,74.7,52.6,6.0,0
10111,2023,74.3,61.7,8.1,1
10111,2024,71.4,23.4,12.3,0
10111,2025,60.0,53.3,3.0,0
10112,2022,79.0,10.8,5.7,0
10112,2023,77.3,47.0,17.9,0
10112,2024,83.1,39.4,4.8,2
10112,2025,57.6,70.3,5.0,1
10113,2022,54.0,55.9,15.0,0
10113,2023,60.5,40.9,17.9,2
10113,2024,76.5,69.6,19.5,0
10113,2025,96.3,71.3,17.1,0
10114,2022,61.8,14.8,14.8,1
10114,2023,91.3,33.8,18.0,0
10114,2024,66.3,39.0,11.0,0
10114,2025,93.5,43.2,7.2,0
10115,2022,92.0,49.9,15.0,2
10115,2023,91.7,31.0,9.3,0
10115,2024,90.4,41.0,8.8,0
10115,2025,59.3,32.3,9.7,1
10116,2022,65.8,36.0,13.3,2
10116,2023,61.9,21.9,18.2,0
10116,2024,77.8,65.5,19.1,0
10116,2025,74.5,67.9,13.8,0
10117,2022,79.7,25.1,2.6,2
10117,2023,79.7,16.2,9.3,0
10117,2024,75.7,25.6,4.3,1
10117,2025,94.3,38.9,12.0,0
10118,2022,50.7,34.9,9.1,2
10118,2023,94.1,52.6,15.3,2
10118,2024,55.1,26.9,12.8,0
10118,2025,79.2,63.4,5.3,1
10119,2022,92.3,37.3,4.8,0
10119,2023,72.6,47.0,3.8,0
10119,2024,91.3,68.4,15.4,0
10119,2025,76.8,75.6,8.0,0
10120,2022,90.8,46.9,9.9,0
10120,2023,100.0,50.6,9.7,1
10120,2024,98.1,60.1,13.9,0
10120,2025,60.2,61.7,2.8,2
10121,2022,57.1,10.5,8.4,0
10121,2023,78.5,65.8,3.7,2
10121,2024,100.0,53.8,2.9,0
10121,2025,77.0,52.4,3.5,0
10122,2022,63.3,32.6,9.6,0
10122,2023,98.8,27.7,14.5,0
10122,2024,89.0,45.8,10.3,2
10122,2025,94.5,64.7,6.4,0
10123,2022,55.3,22.7,13.7,0
10123,2023,65.1,58.3,5.6,0
10123,2024,79.2,32.5,8.8,2
10123,2025,92.8,70.9,19.1,0
10124,2022,66.7,39.2,16.9,2
10124,2023,62.3,57.9,18.4,0
10124,2024,76.0,42.8,4.8,0
10124,2025,77.9,44.1,13.2,0
10125,2022,91.9,44.9,7.6,1
10125,2023,97.3,34.1,16.7,0
10125,2024,63.1,69.6,10.2,2
10125,2025,70.9,65.0,15.3,1
10126,2022,87.7,31.5,7.6,1
10126,2023,64.3,24.7,3.2,0
10126,2024,67.7,49.8,15.5,0
10126,2025,90.0,57.8,12.8,0
10127,2022,74.5,58.4,17.6,2
10127,2023,86.3,53.2,4.1,0
10127,2024,58.5,34.7,19.5,2
10127,2025,81.7,41.1,18.4,1
10128,2022,82.3,39.0,13.7,0
10128,2023,75.3,22.0,11.5,0
10128,2024,61.1,56.8,9.2,1
10128,2025,63.9,32.0,3.7,0
10129,2022,78.2,38.7,18.7,2
10129,2023,59.4,65.1,5.5,0
10129,2024,69.6,65.6,8.4,0
10129,2025,78.7,70.2,5.3,0
10130,2022,78.5,47.5,6.7,1
10130,2023,65.2,62.4,9.1,1
10130,2024,74.5,68.5,14.5,1
10130,2025,75.2,36.1,16.6,0
10131,2022,54.7,21.4,3.0,0
10131,2023,91.1,62.2,16.7,0
10131,2024,90.6,35.7,16.3,0
10131,2025,95.1,47.0,4.4,1
10132,2022,57.1,12.1,6.9,1
10132,2023,77.3,61.0,3.5,0
10132,2024,70.9,25.6,10.7,0
10132,2025,74.2,54.5,19.4,0
10133,2022,53.2,21.0,17.8,0
10133,2023,97.9,17.4,17.7,0
10133,2024,100.0,36.5,4.3,0
10133,2025,77.1,61.2,18.2,1
10134,2022,91.0,14.5,2.4,0
10134,2023,68.3,58.6,15.7,1
10134,2024,81.9,56.6,7.4,1
10134,2025,93.2,30.9,11.0,2
10135,2022,75.1,30.2,15.2,1
10135,2023,60.4,56.4,13.7,2
10135,2024,73.2,68.6,8.0,0
10135,2025,94.0,59.4,16.7,0
10136,2022,87.5,44.1,13.7,0
10136,2023,68.7,59.8,17.2,0
10136,2024,80.9,44.7,8.6,0
10136,2025,67.4,63.4,4.1,0
10137,2022,62.1,38.9,8.7,0
10137,2023,59.5,50.8,10.9,0
10137,2024,76.0,66.1,4.6,0
10137,2025,92.1,67.5,12.1,1
10138,2022,92.2,16.4,13.9,0
10138,2023,78.6,62.6,2.0,0
10138,2024,86.3,24.5,12.0,1
10138,2025,70.3,65.8,4.3,0
10139,2022,59.7,24.3,4.6,0
10139,2023,71.5,55.0,8.8,0
10139,2024,81.8,22.7,3.7,0
10139,2025,59.1,39.0,12.3,2
10140,2022,54.4,14.0,15.3,2
10140,2023,82.8,53.6,7.9,0
10140,2024,64.6,31.7,18.8,2
10140,2025,79.3,74.4,14.8,0
10141,2022,95.0,30.5,19.8,0
10141,2023,93.9,52.0,12.9,2
10141,2024,58.1,63.2,10.3,2
10141,2025,60.3,75.7,15.8,0
10142,2022,57.0,33.1,9.1,0
10142,2023,58.1,49.6,2.0,0
10142,2024,67.2,40.2,5.8,0
10142,2025,75.4,42.2,5.7,0
10143,2022,54.0,44.3,10.8,0
10143,2023,74.6,36.2,14.8,0
10143,2024,80.4,50.6,12.0,0
10143,2025,89.3,37.9,3.9,2
10144,2022,69.5,45.7,6.7,2
10144,2023,66.7,64.5,4.5,0
10144,2024,85.9,48.9,3.4,1
10144,2025,100.0,54.0,4.8,2
10145,2022,69.0,52.7,11.4,0
10145,2023,66.6,23.6,15.6,0
10145,2024,89.5,41.7,9.1,0
10145,2025,99.6,36.7,5.6,0
10146,2022,96.1,37.3,9.7,2
10146,2023,63.1,46.8,7.9,1
10146,2024,69.5,67.7,2.8,1
10146,2025,100.0,69.5,18.6,1
10147,2022,63.0,42.3,2.2,1
10147,2023,69.1,54.7,2.7,2
10147,2024,85.7,53.4,7.4,2
10147,2025,84.8,56.5,16.0,1
10148,2022,92.1,12.4,10.8,0
10148,2023,81.9,17.2,11.2,0
10148,2024,78.5,64.6,13.1,0
10148,2025,61.0,42.1,2.7,0
10149,2022,96.8,27.5,19.3,2
10149,2023,72.8,38.5,11.9,0
10149,2024,82.5,24.1,16.8,2
10149,2025,81.6,76.1,9.7,1
10150,2022,85.4,15.2,9.8,2
10150,2023,83.5,64.4,5.0,1
10150,2024,71.4,57.4,8.5,0
10150,2025,82.5,75.2,5.3,2
10151,2022,89.6,12.6,18.4,0
10151,2023,82.9,38.4,7.9,2
10151,2024,100.0,69.6,9.2,2
10151,2025,93.7,60.3,4.4,0
10152,2022,73.3,37.3,19.9,0
10152,2023,91.2,49.6,12.3,0
10152,2024,76.2,31.3,12.3,1
10152,2025,67.7,65.3,4.6,0
10153,2022,80.2,23.8,14.2,0
10153,2023,69.5,30.1,14.3,0
10153,2024,56.2,51.9,18.3,2
10153,2025,67.8,29.1,7.1,0
10154,2022,58.0,12.7,17.7,1
10154,2023,90.7,16.8,10.0,2
10154,2024,89.9,60.3,6.1,0
10154,2025,87.0,29.3,13.9,0
10155,2022,94.8,14.8,2.6,0
10155,2023,61.0,46.3,17.4,0
10155,2024,62.8,45.7,3.2,2
10155,2025,100.0,46.3,9.2,0
10156,2022,81.1,27.8,4.6,2
10156,2023,79.3,59.0,10.5,2
10156,2024,90.5,25.9,19.2,0
10156,2025,71.0,74.3,4.6,0
10157,2022,78.6,21.8,3.9,0
10157,2023,73.0,40.4,5.6,0
10157,2024,69.7,69.9,18.9,2
10157,2025,99.6,59.9,7.1,0
10158,2022,57.7,22.6,12.9,0
10158,2023,53.4,65.1,7.2,1
10158,2024,72.2,62.7,15.0,0
10158,2025,67.0,43.7,13.4,0
10159,2022,88.9,40.0,19.3,2
10159,2023,58.6,43.8,7.9,0
10159,2024,100.0,52.8,7.6,0
10159,2025,65.5,34.1,16.0,1
10160,2022,92.7,42.3,4.8,0
10160,2023,60.6,26.7,15.1,2
10160,2024,57.3,38.0,15.9,2
10160,2025,80.9,55.3,17.5,0
10161,2022,67.1,20.7,14.4,2
10161,2023,81.2,60.6,5.0,0
10161,2024,85.8,42.9,8.0,0
10161,2025,100.0,36.3,3.0,0
10162,2022,95.7,13.0,15.6,0
10162,2023,76.3,55.1,14.4,0
10162,2024,65.0,63.4,11.3,2
10162,2025,69.4,32.0,19.6,2
10163,2022,54.8,37.1,7.8,1
10163,2023,65.9,48.7,18.0,2
10163,2024,98.7,67.4,5.3,0
10163,2025,75.0,30.4,19.2,0
10164,2022,80.2,27.4,7.2,0
10164,2023,99.6,22.0,16.5,2
10164,2024,60.1,43.4,4.0,0
10164,2025,94.7,46.6,9.4,2
10165,2022,83.6,39.8,19.4,1
10165,2023,91.8,49.8,7.6,1
10165,2024,61.6,70.2,16.0,2
10165,2025,81.6,36.1,10.7,0
10166,2022,80.3,50.0,12.9,0
10166,2023,89.0,58.3,12.8,2
10166,2024,89.2,50.3,12.3,1
10166,2025,84.9,67.4,10.7,0
10167,2022,72.5,27.5,5.4,2
10167,2023,97.7,17.7,2.2,0
10167,2024,63.7,29.5,14.2,0
10167,2025,67.3,36.4,14.7,0
10168,2022,55.3,53.8,15.9,1
10168,2023,57.9,63.9,18.8,2
10168,2024,96.9,42.1,4.9,0
10168,2025,86.6,60.8,18.0,1
10169,2022,94.9,25.2,6.2,1
10169,2023,95.1,38.3,11.8,1
10169,2024,69.4,53.0,6.7,1
10169,2025,88.3,70.8,4.5,1
10170,2022,68.2,31.3,2.9,1
10170,2023,94.6,50.9,8.2,0
10170,2024,90.2,34.4,19.5,0
10170,2025,63.4,44.4,10.5,1
10171,2022,62.2,21.0,2.7,0
10171,2023,84.1,59.3,14.1,2
10171,2024,66.8,27.9,5.6,0
10171,2025,83.1,66.5,3.1,0
10172,2022,61.7,41.6,16.3,0
10172,2023,85.3,48.5,10.0,0
10172,2024,58.6,65.8,19.6,0
10172,2025,92.1,54.5,14.9,1
10173,2022,66.2,13.8,7.2,1
10173,2023,74.3,62.6,19.7,1
10173,2024,78.2,38.9,17.7,2
10173,2025,66.8,29.5,7.7,0
10174,2022,95.2,36.7,7.2,0
10174,2023,52.5,33.9,11.0,0
10174,2024,72.9,67.6,11.8,0
