Village_ID,Village_Name,District,State,Year,MGNREGA_Workers,Skill_Dev_Participants,Avg_Daily_Wage_INR,Unemployment_Rate_Pct
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2023,102,23,362,12.6
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2024,51,33,254,10.9
10006,Varanasi_Village_6,Varanasi,Uttar Pradesh,2025,137,7,319,9.0
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2022,285,30,260,14.5
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2023,207,16,337,12.2
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2024,87,6,284,4.9
10007,Varanasi_Village_7,Varanasi,Uttar Pradesh,2025,179,15,283,9.2
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2022,241,32,282,8.8
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2023,237,22,248,12.4
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2024,70,17,342,4.2
10008,Varanasi_Village_8,Varanasi,Uttar Pradesh,2025,210,26,394,7.6
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2022,253,16,226,7.8
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2023,107,6,363,5.6
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2024,71,11,260,7.7
10009,Varanasi_Village_9,Varanasi,Uttar Pradesh,2025,285,30,381,10.4
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2022,138,30,282,8.3
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2023,98,28,224,10.2
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2024,268,16,269,9.9
10010,Varanasi_Village_10,Varanasi,Uttar Pradesh,2025,108,20,298,9.5
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2022,219,27,334,10.1
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2023,269,13,218,5.3
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2024,237,36,372,6.0
10011,Varanasi_Village_11,Varanasi,Uttar Pradesh,2025,257,19,250,11.7
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2022,64,17,272,9.8
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2023,239,9,272,11.5
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2024,239,15,306,9.7
10012,Varanasi_Village_12,Varanasi,Uttar Pradesh,2025,224,14,263,3.7
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2022,239,17,261,12.9
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2023,100,19,285,4.8
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2024,157,11,367,13.6
10013,Varanasi_Village_13,Varanasi,Uttar Pradesh,2025,104,32,269,5.6
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2022,293,36,326,9.9
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2023,113,39,272,4.8
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2024,298,19,349,13.1
10014,Varanasi_Village_14,Varanasi,Uttar Pradesh,2025,180,25,355,13.6
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2022,278,10,275,6.0
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2023,100,5,284,7.2
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2024,184,8,367,3.9
10015,Varanasi_Village_15,Varanasi,Uttar Pradesh,2025,70,15,310,11.6
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2022,122,30,319,7.8
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2023,216,27,301,10.3
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2024,67,33,368,4.1
10016,Varanasi_Village_16,Varanasi,Uttar Pradesh,2025,181,25,366,10.8
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2022,138,31,248,10.1
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2023,109,17,262,11.7
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2024,63,27,344,12.0
10017,Varanasi_Village_17,Varanasi,Uttar Pradesh,2025,291,20,331,4.2
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2022,299,34,206,10.6
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2023,58,8,291,10.9
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2024,139,20,374,9.1
10018,Varanasi_Village_18,Varanasi,Uttar Pradesh,2025,102,35,365,5.2
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2022,179,29,323,12.9
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2023,133,16,364,14.6
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2024,141,30,370,13.9
10019,Varanasi_Village_19,Varanasi,Uttar Pradesh,2025,160,37,369,11.5
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2022,237,32,211,8.9
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2023,248,13,285,7.6
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2024,221,16,230,4.4
10020,Varanasi_Village_20,Varanasi,Uttar Pradesh,2025,57,9,363,7.7
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2022,224,32,341,6.1
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2023,84,39,325,6.8
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2024,255,9,293,13.1
10021,Varanasi_Village_21,Varanasi,Uttar Pradesh,2025,130,38,287,13.5
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2022,213,38,240,14.5
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2023,99,17,329,6.1
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2024,153,18,268,13.2
10022,Varanasi_Village_22,Varanasi,Uttar Pradesh,2025,181,15,245,4.8
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2022,51,8,240,9.8
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2023,183,37,302,10.9
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2024,103,11,327,8.6
10023,Varanasi_Village_23,Varanasi,Uttar Pradesh,2025,155,12,332,13.3
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2022,53,14,278,8.0
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2023,103,19,355,9.6
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2024,270,19,300,4.5
10024,Varanasi_Village_24,Varanasi,Uttar Pradesh,2025,240,9,381,12.2
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2022,195,33,298,8.8
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2023,267,23,301,11.5
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2024,93,14,230,10.9
10025,Varanasi_Village_25,Varanasi,Uttar Pradesh,2025,211,16,386,10.4
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2022,251,8,311,9.8
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2023,239,35,288,7.0
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2024,277,22,294,10.3
10026,Varanasi_Village_26,Varanasi,Uttar Pradesh,2025,63,20,313,13.4
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2022,144,29,266,13.3
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2023,97,27,264,5.2
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2024,64,16,287,3.9
10027,Varanasi_Village_27,Varanasi,Uttar Pradesh,2025,249,38,297,8.5
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2022,255,7,290,12.6
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2023,264,13,329,7.4
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2024,298,22,347,11.1
10028,Varanasi_Village_28,Varanasi,Uttar Pradesh,2025,239,39,301,13.1
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2022,89,38,285,9.3
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2023,262,18,232,6.7
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2024,257,8,245,13.3
10029,Varanasi_Village_29,Varanasi,Uttar Pradesh,2025,286,33,374,8.3
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2022,131,19,212,8.8
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2023,160,32,294,7.8
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2024,102,20,272,8.1
10030,Varanasi_Village_30,Varanasi,Uttar Pradesh,2025,73,16,298,10.4
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2022,203,9,336,9.1
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2023,266,38,287,7.5
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2024,237,5,277,11.5
10031,Varanasi_Village_31,Varanasi,Uttar Pradesh,2025,173,36,262,5.4
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2022,286,30,210,6.6
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2023,90,21,298,11.4
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2024,206,31,248,12.8
10032,Varanasi_Village_32,Varanasi,Uttar Pradesh,2025,64,28,344,5.8
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2022,94,39,315,6.5
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2023,114,30,304,11.1
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2024,138,27,303,10.2
10033,Varanasi_Village_33,Varanasi,Uttar Pradesh,2025,120,26,268,8.0
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2022,58,8,212,5.5
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2023,137,13,339,5.1
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2024,178,8,345,11.9
10034,Varanasi_Village_34,Varanasi,Uttar Pradesh,2025,285,11,315,8.0
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2022,185,27,325,13.5
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2023,265,6,359,10.1
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2024,112,28,348,10.2
10035,Varanasi_Village_35,Varanasi,Uttar Pradesh,2025,188,35,335,13.1
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2022,292,35,284,6.2
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2023,130,38,322,9.8
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2024,185,28,356,4.3
10036,Varanasi_Village_36,Varanasi,Uttar Pradesh,2025,212,30,365,7.1
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2022,212,20,328,6.1
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2023,82,17,220,6.1
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2024,172,19,307,13.5
10037,Varanasi_Village_37,Varanasi,Uttar Pradesh,2025,54,31,282,9.7
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2022,283,8,315,13.9
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2023,280,20,316,8.8
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2024,299,34,237,10.0
10038,Varanasi_Village_38,Varanasi,Uttar Pradesh,2025,90,34,322,3.6
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2022,77,7,311,9.4
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2023,184,26,362,10.0
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2024,250,26,284,3.9
10039,Varanasi_Village_39,Varanasi,Uttar Pradesh,2025,121,16,292,11.6
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2022,61,25,287,7.6
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2023,211,8,224,8.9
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2024,82,35,281,9.3
10040,Varanasi_Village_40,Varanasi,Uttar Pradesh,2025,97,35,278,13.7
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2022,296,27,260,5.5
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2023,200,24,358,9.9
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2024,111,19,308,9.3
10041,Varanasi_Village_41,Varanasi,Uttar Pradesh,2025,265,27,262,4.0
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2022,86,32,270,11.2
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2023,148,20,300,7.1
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2024,221,25,261,4.8
10042,Varanasi_Village_42,Varanasi,Uttar Pradesh,2025,153,19,287,5.2
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2022,263,21,282,13.1
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2023,268,17,283,5.2
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2024,84,23,279,8.6
10043,Varanasi_Village_43,Varanasi,Uttar Pradesh,2025,242,34,256,5.4
10044,Varanasi_Village_44,Varanasi,Uttar Pradesh,2022,276,22,284,6.2
10044,Varanasi_Village_44,Varanasi,Uttar Pradesh,2023,150,18,337,6.3
10044,Varanasi_Village_44,Varanasi,Uttar Pradesh,2024,224,24,287,8.9
10044,Varanasi_Village_44,Varanasi,Uttar Pradesh,2025,255,23,327,5.8
10045,Varanasi_Village_45,Varanasi,Uttar Pradesh,2022,180,11,311,5.5
10045,Varanasi_Village_45,Varanasi,Uttar Pradesh,2023,50,8,342,12.5
10045,Varanasi_Village_45,Varanasi,Uttar Pradesh,2024,54,38,265,9.4
10045,Varanasi_Village_45,Varanasi,Uttar Pradesh,2025,267,6,298,4.9
10046,Varanasi_Village_46,Varanasi,Uttar Pradesh,2022,296,9,246,9.5
10046,Varanasi_Village_46,Varanasi,Uttar Pradesh,2023,191,14,329,4.8
10046,Varanasi_Village_46,Varanasi,Uttar Pradesh,2024,152,36,353,9.8
10046,Varanasi_Village_46,Varanasi,Uttar Pradesh,2025,76,17,340,6.9
10047,Varanasi_Village_47,Varanasi,Uttar Pradesh,2022,186,9,306,5.6
10047,Varanasi_Village_47,Varanasi,Uttar Pradesh,2023,256,14,334,6.0
10047,Varanasi_Village_47,Varanasi,Uttar Pradesh,2024,64,14,330,7.3
10047,Varanasi_Village_47,Varanasi,Uttar Pradesh,2025,139,31,347,11.8
10048,Varanasi_Village_48,Varanasi,Uttar Pradesh,2022,91,25,231,6.3
10048,Varanasi_Village_48,Varanasi,Uttar Pradesh,2023,173,12,280,5.3
10048,Varanasi_Village_48,Varanasi,Uttar Pradesh,2024,254,5,240,9.1
10048,Varanasi_Village_48,Varanasi,Uttar Pradesh,2025,228,32,392,9.2
10049,Varanasi_Village_49,Varanasi,Uttar Pradesh,2022,112,18,236,5.4
10049,Varanasi_Village_49,Varanasi,Uttar Pradesh,2023,145,25,316,7.1
10049,Varanasi_Village_49,Varanasi,Uttar Pradesh,2024,280,34,278,6.5
10049,Varanasi_Village_49,Varanasi,Uttar Pradesh,2025,290,25,263,5.3
10050,Varanasi_Village_50,Varanasi,Uttar Pradesh,2022,101,13,206,7.8
10050,Varanasi_Village_50,Varanasi,Uttar Pradesh,2023,145,21,347,4.5
10050,Varanasi_Village_50,Varanasi,Uttar Pradesh,2024,181,9,271,10.5
10050,Varanasi_Village_50,Varanasi,Uttar Pradesh,2025,271,35,332,13.7
10051,Varanasi_Village_51,Varanasi,Uttar Pradesh,2022,278,23,334,11.2
10051,Varanasi_Village_51,Varanasi,Uttar Pradesh,2023,200,37,225,7.9
10051,Varanasi_Village_51,Varanasi,Uttar Pradesh,2024,280,17,270,10.7
10051,Varanasi_Village_51,Varanasi,Uttar Pradesh,2025,286,18,247,9.3
10052,Varanasi_Village_52,Varanasi,Uttar Pradesh,2022,192,37,239,13.4
10052,Varanasi_Village_52,Varanasi,Uttar Pradesh,2023,220,33,265,10.6
10052,Varanasi_Village_52,Varanasi,Uttar Pradesh,2024,78,14,261,10.4
10052,Varanasi_Village_52,Varanasi,Uttar Pradesh,2025,85,35,292,5.6
10053,Varanasi_Village_53,Varanasi,Uttar Pradesh,2022,62,10,270,8.9
10053,Varanasi_Village_53,Varanasi,Uttar Pradesh,2023,209,5,362,7.7
10053,Varanasi_Village_53,Varanasi,Uttar Pradesh,2024,120,11,318,3.8
10053,Varanasi_Village_53,Varanasi,Uttar Pradesh,2025,236,31,353,6.6
10054,Varanasi_Village_54,Varanasi,Uttar Pradesh,2022,292,25,234,9.6
10054,Varanasi_Village_54,Varanasi,Uttar Pradesh,2023,135,32,322,10.4
10054,Varanasi_Village_54,Varanasi,Uttar Pradesh,2024,77,20,269,13.5
10054,Varanasi_Village_54,Varanasi,Uttar Pradesh,2025,115,27,296,5.8
10055,Varanasi_Village_55,Varanasi,Uttar Pradesh,2022,219,24,311,6.1
10055,Varanasi_Village_55,Varanasi,Uttar Pradesh,2023,94,29,253,13.2
10055,Varanasi_Village_55,Varanasi,Uttar Pradesh,2024,111,32,297,13.6
10055,Varanasi_Village_55,Varanasi,Uttar Pradesh,2025,234,9,320,8.4
10056,Varanasi_Village_56,Varanasi,Uttar Pradesh,2022,294,25,264,5.7
10056,Varanasi_Village_56,Varanasi,Uttar Pradesh,2023,183,22,276,9.2
10056,Varanasi_Village_56,Varanasi,Uttar Pradesh,2024,77,10,231,4.8
10056,Varanasi_Village_56,Varanasi,Uttar Pradesh,2025,77,33,378,12.6
10057,Varanasi_Village_57,Varanasi,Uttar Pradesh,2022,157,23,321,11.9
10057,Varanasi_Village_57,Varanasi,Uttar Pradesh,2023,93,37,289,6.6
10057,Varanasi_Village_57,Varanasi,Uttar Pradesh,2024,133,5,269,13.0
10057,Varanasi_Village_57,Varanasi,Uttar Pradesh,2025,79,7,333,10.0
10058,Varanasi_Village_58,Varanasi,Uttar Pradesh,2022,239,25,227,14.5
10058,Varanasi_Village_58,Varanasi,Uttar Pradesh,2023,124,39,294,14.4
10058,Varanasi_Village_58,Varanasi,Uttar Pradesh,2024,177,7,292,3.7
10058,Varanasi_Village_58,Varanasi,Uttar Pradesh,2025,299,29,384,4.6
10059,Varanasi_Village_59,Varanasi,Uttar Pradesh,2022,296,24,240,10.2
10059,Varanasi_Village_59,Varanasi,Uttar Pradesh,2023,141,38,243,14.1
10059,Varanasi_Village_59,Varanasi,Uttar Pradesh,2024,266,25,252,14.1
10059,Varanasi_Village_59,Varanasi,Uttar Pradesh,2025,280,27,324,9.3
10060,Varanasi_Village_60,Varanasi,Uttar Pradesh,2022,239,10,250,6.3
10060,Varanasi_Village_60,Varanasi,Uttar Pradesh,2023,274,17,326,5.8
10060,Varanasi_Village_60,Varanasi,Uttar Pradesh,2024,178,27,334,11.7
10060,Varanasi_Village_60,Varanasi,Uttar Pradesh,2025,170,13,289,9.5
10061,Varanasi_Village_61,Varanasi,Uttar Pradesh,2022,76,21,289,10.3
10061,Varanasi_Village_61,Varanasi,Uttar Pradesh,2023,239,6,364,9.0
10061,Varanasi_Village_61,Varanasi,Uttar Pradesh,2024,170,23,367,11.3
10061,Varanasi_Village_61,Varanasi,Uttar Pradesh,2025,165,23,379,12.3
10062,Varanasi_Village_62,Varanasi,Uttar Pradesh,2022,254,11,288,7.7
10062,Varanasi_Village_62,Varanasi,Uttar Pradesh,2023,282,24,229,6.4
10062,Varanasi_Village_62,Varanasi,Uttar Pradesh,2024,52,13,306,10.7
10062,Varanasi_Village_62,Varanasi,Uttar Pradesh,2025,152,21,350,12.9
10063,Varanasi_Village_63,Varanasi,Uttar Pradesh,2022,247,31,289,8.2
10063,Varanasi_Village_63,Varanasi,Uttar Pradesh,2023,249,6,301,7.0
10063,Varanasi_Village_63,Varanasi,Uttar Pradesh,2024,204,23,290,6.1
10063,Varanasi_Village_63,Varanasi,Uttar Pradesh,2025,186,21,352,6.0
10064,Varanasi_Village_64,Varanasi,Uttar Pradesh,2022,111,9,260,5.9
10064,Varanasi_Village_64,Varanasi,Uttar Pradesh,2023,214,22,265,10.4
10064,Varanasi_Village_64,Varanasi,Uttar Pradesh,2024,274,11,241,6.6
10064,Varanasi_Village_64,Varanasi,Uttar Pradesh,2025,100,21,321,9.8
10065,Varanasi_Village_65,Varanasi,Uttar Pradesh,2022,283,8,311,5.4
10065,Varanasi_Village_65,Varanasi,Uttar Pradesh,2023,221,29,280,5.3
10065,Varanasi_Village_65,Varanasi,Uttar Pradesh,2024,201,9,344,9.3
10065,Varanasi_Village_65,Varanasi,Uttar Pradesh,2025,256,34,274,8.7
10066,Varanasi_Village_66,Varanasi,Uttar Pradesh,2022,108,16,304,7.4
10066,Varanasi_Village_66,Varanasi,Uttar Pradesh,2023,167,8,245,12.8
10066,Varanasi_Village_66,Varanasi,Uttar Pradesh,2024,209,28,242,5.7
10066,Varanasi_Village_66,Varanasi,Uttar Pradesh,2025,145,33,372,7.1
10067,Varanasi_Village_67,Varanasi,Uttar Pradesh,2022,265,13,300,10.3
10067,Varanasi_Village_67,Varanasi,Uttar Pradesh,2023,282,8,281,13.2
10067,Varanasi_Village_67,Varanasi,Uttar Pradesh,2024,229,28,309,8.1
10067,Varanasi_Village_67,Varanasi,Uttar Pradesh,2025,162,18,347,7.5
10068,Varanasi_Village_68,Varanasi,Uttar Pradesh,2022,111,9,218,10.6
10068,Varanasi_Village_68,Varanasi,Uttar Pradesh,2023,290,22,357,7.4
10068,Varanasi_Village_68,Varanasi,Uttar Pradesh,2024,235,23,261,11.1
10068,Varanasi_Village_68,Varanasi,Uttar Pradesh,2025,101,16,393,5.9
10069,Varanasi_Village_69,Varanasi,Uttar Pradesh,2022,61,22,264,13.1
10069,Varanasi_Village_69,Varanasi,Uttar Pradesh,2023,88,21,241,7.0
10069,Varanasi_Village_69,Varanasi,Uttar Pradesh,2024,179,34,276,14.1
10069,Varanasi_Village_69,Varanasi,Uttar Pradesh,2025,180,28,256,6.6
10070,Varanasi_Village_70,Varanasi,Uttar Pradesh,2022,162,15,284,13.7
10070,Varanasi_Village_70,Varanasi,Uttar Pradesh,2023,150,39,280,8.3
10070,Varanasi_Village_70,Varanasi,Uttar Pradesh,2024,162,27,362,6.3
10070,Varanasi_Village_70,Varanasi,Uttar Pradesh,2025,233,21,381,5.7
10071,Varanasi_Village_71,Varanasi,Uttar Pradesh,2022,130,5,347,13.4
10071,Varanasi_Village_71,Varanasi,Uttar Pradesh,2023,236,19,324,7.3
10071,Varanasi_Village_71,Varanasi,Uttar Pradesh,2024,162,36,311,7.3
10071,Varanasi_Village_71,Varanasi,Uttar Pradesh,2025,51,13,369,5.4
10072,Varanasi_Village_72,Varanasi,Uttar Pradesh,2022,179,19,262,14.6
10072,Varanasi_Village_72,Varanasi,Uttar Pradesh,2023,269,32,286,6.7
10072,Varanasi_Village_72,Varanasi,Uttar Pradesh,2024,103,28,327,6.3
10072,Varanasi_Village_72,Varanasi,Uttar Pradesh,2025,136,39,317,13.2
10073,Varanasi_Village_73,Varanasi,Uttar Pradesh,2022,278,26,270,14.0
10073,Varanasi_Village_73,Varanasi,Uttar Pradesh,2023,273,31,244,6.7
10073,Varanasi_Village_73,Varanasi,Uttar Pradesh,2024,274,23,354,12.8
10073,Varanasi_Village_73,Varanasi,Uttar Pradesh,2025,178,16,260,5.9
10074,Varanasi_Village_74,Varanasi,Uttar Pradesh,2022,196,24,332,5.4
10074,Varanasi_Village_74,Varanasi,Uttar Pradesh,2023,175,5,261,12.7
10074,Varanasi_Village_74,Varanasi,Uttar Pradesh,2024,179,25,330,11.8
10074,Varanasi_Village_74,Varanasi,Uttar Pradesh,2025,102,5,351,6.4
10075,Varanasi_Village_75,Varanasi,Uttar Pradesh,2022,221,14,325,5.4
10075,Varanasi_Village_75,Varanasi,Uttar Pradesh,2023,267,36,236,6.3
10075,Varanasi_Village_75,Varanasi,Uttar Pradesh,2024,209,26,312,11.8
10075,Varanasi_Village_75,Varanasi,Uttar Pradesh,2025,247,22,304,13.4
10076,Varanasi_Village_76,Varanasi,Uttar Pradesh,2022,209,36,257,7.2
10076,Varanasi_Village_76,Varanasi,Uttar Pradesh,2023,296,31,217,12.7
10076,Varanasi_Village_76,Varanasi,Uttar Pradesh,2024,117,32,274,6.1
10076,Varanasi_Village_76,Varanasi,Uttar Pradesh,2025,232,22,294,10.4
10077,Varanasi_Village_77,Varanasi,Uttar Pradesh,2022,252,33,201,5.4
10077,Varanasi_Village_77,Varanasi,Uttar Pradesh,2023,233,22,229,10.2
10077,Varanasi_Village_77,Varanasi,Uttar Pradesh,2024,172,12,372,6.5
10077,Varanasi_Village_77,Varanasi,Uttar Pradesh,2025,194,35,340,13.0
10078,Varanasi_Village_78,Varanasi,Uttar Pradesh,2022,87,38,284,7.5
10078,Varanasi_Village_78,Varanasi,Uttar Pradesh,2023,73,11,325,8.3
10078,Varanasi_Village_78,Varanasi,Uttar Pradesh,2024,118,22,252,12.5
10078,Varanasi_Village_78,Varanasi,Uttar Pradesh,2025,165,13,343,7.9
10079,Varanasi_Village_79,Varanasi,Uttar Pradesh,2022,147,13,236,7.0
10079,Varanasi_Village_79,Varanasi,Uttar Pradesh,2023,247,12,321,9.8
10079,Varanasi_Village_79,Varanasi,Uttar Pradesh,2024,263,39,270,12.5
10079,Varanasi_Village_79,Varanasi,Uttar Pradesh,2025,188,22,301,7.8
10080,Varanasi_Village_80,Varanasi,Uttar Pradesh,2022,289,9,296,5.9
10080,Varanasi_Village_80,Varanasi,Uttar Pradesh,2023,193,18,239,8.1
10080,Varanasi_Village_80,Varanasi,Uttar Pradesh,2024,146,32,339,13.7
10080,Varanasi_Village_80,Varanasi,Uttar Pradesh,2025,250,34,281,4.1
10081,Varanasi_Village_81,Varanasi,Uttar Pradesh,2022,173,8,239,8.8
10081,Varanasi_Village_81,Varanasi,Uttar Pradesh,2023,236,24,299,10.9
