Village_ID,Year,Primary_Schools,School_Dropout_Rate_Pct,Primary_Health_Centres,Clean_Water_Access_Pct
10055,2024,1,4.3,1,85.6
10055,2025,0,5.0,1,61.5
10056,2022,3,18.7,1,39.3
10056,2023,2,20.1,1,60.8
10056,2024,2,14.9,1,93.8
10056,2025,2,17.2,1,91.8
10057,2022,3,17.1,1,48.7
10057,2023,3,19.7,0,47.6
10057,2024,0,21.7,1,65.0
10057,2025,1,2.2,1,78.3
10058,2022,3,14.6,1,85.6
10058,2023,2,7.3,1,69.8
10058,2024,3,11.3,0,86.2
10058,2025,1,10.5,0,80.8
10059,2022,1,17.4,0,36.1
10059,2023,2,12.3,0,86.5
10059,2024,0,8.5,0,48.0
10059,2025,1,1.4,0,61.0
10060,2022,1,5.7,0,80.4
10060,2023,1,7.0,1,91.8
10060,2024,1,11.0,0,54.6
10060,2025,1,8.9,1,62.0
10061,2022,3,8.8,1,59.1
10061,2023,2,19.9,1,62.9
10061,2024,3,15.7,0,81.0
10061,2025,0,7.4,1,88.0
10062,2022,1,20.9,1,89.5
10062,2023,0,23.3,0,81.3
10062,2024,0,6.9,1,54.0
10062,2025,2,7.8,0,60.5
10063,2022,3,24.9,1,67.1
10063,2023,0,6.3,0,74.2
10063,2024,0,3.5,1,41.4
10063,2025,0,10.9,0,59.6
10064,2022,0,14.4,0,42.2
10064,2023,1,5.1,0,63.5
10064,2024,2,7.8,1,46.1
10064,2025,2,8.9,0,73.8
10065,2022,2,21.4,1,58.0
10065,2023,0,17.7,0,57.2
10065,2024,0,20.3,0,74.9
10065,2025,1,7.1,1,64.0
10066,2022,0,11.2,0,54.0
10066,2023,3,12.8,1,72.1
10066,2024,3,2.2,1,39.4
10066,2025,0,4.6,0,64.9
10067,2022,3,9.2,1,41.7
10067,2023,3,4.7,0,35.3
10067,2024,2,11.1,1,38.1
10067,2025,0,18.6,1,49.1
10068,2022,2,5.1,1,56.0
10068,2023,3,16.1,1,67.0
10068,2024,2,19.6,1,83.8
10068,2025,3,2.7,1,75.5
10069,2022,2,23.3,1,61.2
10069,2023,0,19.9,0,35.2
10069,2024,3,6.3,1,53.9
10069,2025,0,18.6,0,80.5
10070,2022,1,21.1,0,46.2
10070,2023,3,5.7,0,68.7
10070,2024,2,18.6,1,72.2
10070,2025,1,11.3,1,57.3
10071,2022,0,21.3,1,64.3
10071,2023,0,15.9,0,39.8
10071,2024,0,9.8,1,79.6
10071,2025,1,12.5,1,40.4
10072,2022,3,17.7,1,32.1
10072,2023,3,18.8,0,85.2
10072,2024,0,18.6,0,70.8
10072,2025,0,13.8,0,48.8
10073,2022,0,24.8,0,66.1
10073,2023,1,19.1,1,55.2
10073,2024,1,20.2,1,52.2
10073,2025,0,6.9,0,87.7
10074,2022,2,11.3,0,58.6
10074,2023,3,10.7,0,50.6
10074,2024,1,10.8,1,92.6
10074,2025,3,19.7,0,48.9
10075,2022,1,6.5,1,38.5
10075,2023,2,13.5,1,38.8
10075,2024,1,5.2,1,43.5
10075,2025,3,16.7,0,54.2
10076,2022,2,5.6,1,71.9
10076,2023,2,12.6,1,73.3
10076,2024,2,9.9,0,81.8
10076,2025,2,2.3,0,73.5
10077,2022,3,12.5,0,59.6
10077,2023,2,19.7,0,58.9
10077,2024,3,4.7,1,88.5
10077,2025,1,20.2,0,59.6
10078,2022,3,6.2,0,83.5
10078,2023,0,9.3,0,49.5
10078,2024,2,17.5,0,45.4
10078,2025,3,7.7,1,54.3
10079,2022,1,14.6,0,59.9
10079,2023,0,7.2,1,88.6
10079,2024,0,16.3,1,46.6
10079,2025,1,4.1,1,73.8
10080,2022,0,22.0,0,43.1
10080,2023,0,14.3,0,73.7
10080,2024,3,13.0,0,63.9
10080,2025,2,19.2,0,83.0
10081,2022,3,20.5,0,81.4
10081,2023,2,18.4,1,53.1
10081,2024,3,19.2,0,92.3
10081,2025,1,2.3,0,67.1
10082,2022,2,19.5,1,86.2
10082,2023,0,8.2,0,46.8
10082,2024,0,7.6,0,89.8
10082,2025,3,0.8,0,59.0
10083,2022,2,22.9,1,75.0
10083,2023,1,18.3,1,91.1
10083,2024,1,4.8,1,90.7
10083,2025,2,7.1,0,66.8
10084,2022,1,14.6,1,50.7
10084,2023,3,13.4,1,69.8
10084,2024,1,13.9,0,78.3
10084,2025,0,9.9,1,71.4
10085,2022,2,18.0,0,80.9
10085,2023,2,21.2,0,36.5
10085,2024,0,10.0,0,72.0
10085,2025,0,18.0,1,70.5
10086,2022,2,9.4,0,32.4
10086,2023,2,5.9,1,33.8
10086,2024,0,6.8,0,72.4
10086,2025,1,4.6,1,46.1
10087,2022,3,24.7,0,76.1
10087,2023,0,11.1,1,90.0
10087,2024,3,15.0,1,46.6
10087,2025,1,14.4,1,86.9
10088,2022,2,13.9,0,65.5
10088,2023,2,8.0,0,59.9
10088,2024,2,10.8,1,75.0
10088,2025,2,10.0,0,87.1
10089,2022,2,24.1,1,88.2
10089,2023,0,14.9,1,72.6
10089,2024,2,21.4,1,80.8
10089,2025,3,12.0,1,75.5
10090,2022,2,7.9,0,63.9
10090,2023,3,11.2,0,36.9
10090,2024,3,17.8,1,45.3
10090,2025,2,8.9,1,61.8
10091,2022,2,7.0,0,69.0
10091,2023,1,5.4,0,37.5
10091,2024,2,6.7,1,68.7
10091,2025,3,11.8,1,39.8
10092,2022,1,21.6,0,76.0
10092,2023,3,14.2,0,73.0
10092,2024,1,16.9,0,67.2
10092,2025,3,13.4,0,73.3
10093,2022,2,15.5,1,86.0
10093,2023,1,7.8,0,87.4
10093,2024,3,19.7,1,83.6
10093,2025,2,6.0,1,59.2
10094,2022,1,10.1,0,36.4
10094,2023,0,8.7,0,52.3
10094,2024,2,3.9,1,81.1
10094,2025,3,10.5,0,75.7
10095,2022,2,11.6,0,72.3
10095,2023,3,13.9,0,39.3
10095,2024,3,11.1,1,45.5
10095,2025,3,10.9,1,78.9
10096,2022,3,11.0,1,52.3
10096,2023,1,19.8,0,55.2
10096,2024,0,12.7,1,59.6
10096,2025,2,4.7,1,86.8
10097,2022,3,23.0,1,71.9
10097,2023,1,5.7,1,39.4
10097,2024,1,16.7,1,56.7
10097,2025,3,14.1,1,79.4
10098,2022,2,6.5,0,88.6
10098,2023,3,21.5,1,87.7
10098,2024,1,8.3,1,50.9
10098,2025,2,15.3,0,43.0
10099,2022,0,10.5,1,64.4
10099,2023,0,14.0,1,57.4
10099,2024,0,21.4,0,47.0
10099,2025,0,12.7,1,78.1
10100,2022,3,10.9,1,39.6
10100,2023,1,12.7,0,54.1
10100,2024,1,15.5,0,83.7
10100,2025,1,9.4,0,80.1
10101,2022,2,23.2,1,66.4
10101,2023,0,20.8,0,88.8
10101,2024,2,4.9,0,43.5
10101,2025,0,16.2,0,80.5
10102,2022,2,23.8,1,37.0
10102,2023,1,9.8,1,41.2
10102,2024,1,6.8,1,66.4
10102,2025,1,0.7,1,40.4
10103,2022,2,7.3,0,60.1
10103,2023,3,22.7,0,33.6
10103,2024,1,9.8,1,72.1
10103,2025,1,8.2,0,57.7
10104,2022,0,10.3,0,35.0
10104,2023,2,6.8,1,79.9
10104,2024,2,12.2,1,59.4
10104,2025,1,15.0,1,65.6
10105,2022,3,16.0,0,52.5
10105,2023,2,4.2,0,38.0
10105,2024,3,18.1,0,63.6
10105,2025,3,19.1,1,78.9
10106,2022,1,13.8,0,84.2
10106,2023,3,10.8,1,78.8
10106,2024,2,6.6,0,40.8
10106,2025,3,6.5,0,48.9
10107,2022,0,17.9,1,32.7
10107,2023,2,18.9,1,40.2
10107,2024,1,8.6,1,64.8
10107,2025,2,7.3,0,52.2
10108,2022,2,14.0,0,68.9
10108,2023,3,6.9,1,34.9
10108,2024,0,20.5,1,87.4
10108,2025,3,14.6,0,79.7
10109,2022,3,13.7,0,88.1
10109,2023,3,5.9,1,90.2
10109,2024,3,19.0,0,77.6
10109,2025,3,10.2,1,48.5
10110,2022,2,20.9,0,43.3
10110,2023,0,4.2,1,49.7
10110,2024,0,7.5,0,61.6
10110,2025,0,12.9,0,73.3
10111,2022,1,14.8,0,71.0
10111,2023,0,9.4,0,37.5
10111,2024,2,6.0,0,72.6
10111,2025,3,6.5,0,42.6
10112,2022,3,19.8,0,79.6
10112,2023,2,7.2,0,35.4
10112,2024,3,13.9,0,59.4
10112,2025,3,9.0,0,64.2
10113,2022,0,20.3,0,64.2
10113,2023,0,7.5,1,38.7
10113,2024,0,7.4,0,92.0
10113,2025,1,8.5,1,62.0
10114,2022,0,8.3,0,53.8
10114,2023,0,12.7,1,47.6
10114,2024,0,10.3,0,82.8
10114,2025,0,20.3,0,39.5
10115,2022,0,16.9,0,36.4
10115,2023,2,4.9,0,61.2
10115,2024,2,11.2,0,94.1
10115,2025,2,18.1,1,41.1
10116,2022,3,22.3,1,33.7
10116,2023,3,22.7,1,75.9
10116,2024,1,19.9,0,80.1
10116,2025,3,4.0,0,92.8
10117,2022,1,5.1,0,64.6
10117,2023,2,15.8,0,57.2
10117,2024,0,16.0,1,63.1
10117,2025,0,3.1,1,64.9
10118,2022,1,8.3,0,88.4
10118,2023,1,22.8,1,55.8
10118,2024,0,20.9,0,41.8
10118,2025,1,3.6,1,56.4
10119,2022,0,9.9,0,87.6
10119,2023,2,21.3,1,58.7
10119,2024,1,10.7,0,55.0
10119,2025,2,16.5,1,57.6
10120,2022,1,12.9,0,30.5
10120,2023,2,18.2,1,71.0
10120,2024,2,9.9,1,79.5
10120,2025,3,18.5,1,60.2
10121,2022,3,11.5,1,82.4
10121,2023,1,14.0,0,77.6
10121,2024,1,12.4,0,72.1
10121,2025,2,13.5,1,81.2
10122,2022,2,11.1,1,76.2
10122,2023,0,16.4,1,64.6
10122,2024,3,4.8,1,59.9
10122,2025,2,18.4,1,46.5
10123,2022,1,7.9,0,54.3
10123,2023,0,20.3,1,66.0
10123,2024,3,15.9,0,92.9
10123,2025,0,7.3,1,48.3
10124,2022,2,11.5,1,75.4
10124,2023,0,22.8,1,47.4
10124,2024,1,5.9,0,93.4
10124,2025,1,15.0,0,74.7
10125,2022,2,8.7,0,56.0
10125,2023,0,21.6,1,53.8
10125,2024,2,16.8,1,48.1
10125,2025,3,19.2,1,81.9
10126,2022,2,22.6,1,68.2
10126,2023,2,14.5,0,86.4
10126,2024,3,5.0,0,71.8
10126,2025,0,4.9,0,49.2
10127,2022,1,9.0,0,71.0
10127,2023,1,7.9,0,85.7
10127,2024,0,11.5,0,95.4
10127,2025,2,17.9,0,80.1
10128,2022,1,5.5,1,47.4
10128,2023,2,8.3,1,66.9
10128,2024,3,13.9,0,66.9
10128,2025,1,17.8,1,69.7
10129,2022,2,10.9,1,34.7
10129,2023,2,11.2,0,44.7
10129,2024,2,9.5,1,67.4
10129,2025,1,6.4,0,86.9
10130,2022,2,19.0,1,40.9
10130,2023,1,16.6,0,42.9
10130,2024,1,18.9,0,81.6
10130,2025,1,18.9,0,80.4
10131,2022,1,23.0,0,59.1
10131,2023,0,14.3,1,36.0
10131,2024,3,5.7,0,64.4
10131,2025,3,4.9,0,89.1
10132,2022,1,16.8,1,30.6
10132,2023,2,21.9,1,39.2
10132,2024,1,12.6,1,84.6
10132,2025,2,19.2,1,70.5
10133,2022,0,10.2,0,69.7
10133,2023,3,5.2,1,77.7
10133,2024,1,17.9,1,54.0
10133,2025,0,18.1,0,56.9
10134,2022,1,14.0,1,45.8
10134,2023,1,5.5,0,43.0
10134,2024,0,2.8,1,54.3
10134,2025,2,1.8,0,96.2
10135,2022,2,13.8,1,35.2
10135,2023,2,8.2,0,47.4
10135,2024,1,11.2,1,55.1
10135,2025,2,10.3,1,48.2
10136,2022,2,14.2,0,34.6
10136,2023,1,15.9,1,42.7
10136,2024,0,15.6,1,67.7
10136,2025,3,8.4,0,74.8
10137,2022,2,11.7,1,42.9
10137,2023,0,10.9,0,63.2
10137,2024,1,3.4,1,36.4
10137,2025,1,6.9,1,75.1
10138,2022,2,9.0,1,30.1
10138,2023,2,9.3,0,71.6
10138,2024,0,16.3,1,65.0
10138,2025,2,20.3,1,45.6
10139,2022,0,23.5,1,35.3
10139,2023,1,19.9,0,33.4
10139,2024,0,16.7,1,69.1
10139,2025,1,19.4,0,87.4
10140,2022,2,20.0,1,81.4
10140,2023,3,12.9,0,67.2
10140,2024,0,14.0,0,89.2
10140,2025,3,6.6,1,90.7
10141,2022,0,5.1,1,71.9
10141,2023,0,10.6,0,54.8
10141,2024,3,10.1,0,85.6
10141,2025,3,15.2,0,62.5
10142,2022,2,22.2,1,54.2
10142,2023,3,22.8,1,73.7
10142,2024,3,9.0,0,91.7
10142,2025,2,19.6,0,69.0
10143,2022,3,21.0,0,40.6
10143,2023,3,4.1,0,41.5
10143,2024,2,13.9,0,54.1
10143,2025,3,7.8,1,66.5
10144,2022,0,5.7,0,47.9
10144,2023,0,14.1,0,75.7
10144,2024,3,13.7,1,68.6
10144,2025,3,5.5,1,63.4
10145,2022,3,23.8,1,42.8
10145,2023,1,15.7,1,69.3
10145,2024,3,5.5,1,76.4
10145,2025,0,14.9,0,86.1
10146,2022,3,15.0,1,89.5
10146,2023,1,13.0,0,46.9
10146,2024,2,18.7,0,36.9
10146,2025,1,3.3,1,69.0
10147,2022,1,14.8,1,85.4
10147,2023,0,19.1,1,47.9
10147,2024,3,15.2,1,81.4
10147,2025,0,0.6,1,58.2
10148,2022,1,20.7,0,53.5
10148,2023,1,22.4,0,89.9
10148,2024,3,16.1,1,63.7
10148,2025,2,18.0,0,82.5
10149,2022,0,12.2,1,63.0
10149,2023,2,10.5,0,78.8
10149,2024,1,8.4,0,55.0
10149,2025,2,15.2,1,91.6
10150,2022,0,23.8,0,62.9
10150,2023,1,21.2,0,51.5
10150,2024,1,5.0,1,38.3
10150,2025,2,13.0,1,39.8
10151,2022,3,24.9,1,51.2
10151,2023,3,9.4,0,45.9
10151,2024,0,14.7,1,39.2
10151,2025,3,18.6,1,72.2
10152,2022,1,23.0,0,89.3
10152,2023,1,9.9,0,58.3
10152,2024,2,3.9,1,69.1
10152,2025,1,13.4,1,52.2
10153,2022,1,23.9,0,42.3
10153,2023,0,13.7,1,52.7
10153,2024,3,11.2,0,86.1
10153,2025,3,17.8,0,96.6
10154,2022,3,13.5,0,74.4
10154,2023,0,17.1,0,34.2
10154,2024,3,9.8,0,62.3
10154,2025,2,8.0,0,64.2
10155,2022,3,8.8,1,86.1
10155,2023,1,5.3,1,77.7
10155,2024,0,19.7,0,78.9
10155,2025,2,4.1,1,72.9
10156,2022,0,6.2,1,68.8
10156,2023,2,15.1,0,74.9
10156,2024,2,12.9,0,69.2
10156,2025,1,11.9,0,89.7
10157,2022,3,14.4,0,32.2
10157,2023,3,6.3,0,89.5
10157,2024,2,2.4,0,82.4
10157,2025,2,1.4,1,70.7
10158,2022,3,23.9,0,81.6
10158,2023,0,14.1,1,82.7
10158,2024,2,10.0,0,61.2
10158,2025,2,8.7,1,89.4
10159,2022,0,18.0,1,41.3
10159,2023,0,11.0,1,61.2
10159,2024,3,17.9,1,49.9
10159,2025,3,5.7,1,46.5
10160,2022,0,12.3,1,83.7
10160,2023,0,22.2,0,55.0
10160,2024,1,7.2,0,77.1
10160,2025,1,13.7,0,61.5
10161,2022,3,12.3,1,62.6
10161,2023,2,12.9,0,53.9
10161,2024,0,2.9,0,80.6
10161,2025,3,3.8,0,86.2
10162,2022,1,7.0,1,55.8
10162,2023,2,20.4,1,84.6
10162,2024,1,21.2,0,57.3
10162,2025,1,1.9,1,84.7
10163,2022,1,6.5,1,69.0
10163,2023,2,14.5,1,60.4
10163,2024,1,12.1,0,89.3
10163,2025,3,13.5,0,73.3
10164,2022,2,19.7,1,80.4
10164,2023,0,19.4,0,77.0
10164,2024,0,5.0,1,68.0
10164,2025,0,1.3,1,58.6
10165,2022,0,22.8,0,87.1
10165,2023,1,12.9,1,36.4
10165,2024,1,21.4,1,89.7
10165,2025,0,11.2,1,69.4
10166,2022,2,15.2,0,74.9
10166,2023,1,16.0,1,53.0
10166,2024,1,5.4,0,59.1
10166,2025,2,5.6,1,50.4
10167,2022,2,23.1,0,87.3
10167,2023,3,7.7,1,35.6
10167,2024,2,6.7,1,59.2
10167,2025,0,10.7,0,59.1
10168,2022,0,17.8,1,78.8
10168,2023,2,3.5,1,63.1
10168,2024,3,11.1,1,46.1
10168,2025,3,8.5,0,69.5
10169,2022,0,22.3,0,44.2
10169,2023,0,20.3,1,34.0
10169,2024,2,20.1,1,68.7
10169,2025,1,17.3,0,60.6
10170,2022,3,20.7,0,44.3
10170,2023,0,20.7,0,43.3
10170,2024,2,5.5,0,63.2
10170,2025,2,7.3,1,91.2
10171,2022,2,18.7,0,75.5
10171,2023,3,22.0,0,33.3
10171,2024,1,15.3,0,79.9
10171,2025,2,4.7,0,43.4
10172,2022,2,23.9,0,62.9
10172,2023,1,18.7,1,79.8
10172,2024,2,16.3,0,63.2
10172,2025,0,15.8,1,61.6
10173,2022,3,18.2,1,86.4
10173,2023,1,3.9,1,34.8
10173,2024,1,7.1,1,42.4
10173,2025,3,19.6,1,91.2
10174,2022,2,10.8,1,83.2
10174,2023,3,18.9,0,55.4
10174,2024,0,10.5,1,68.4
10174,2025,1,18.7,0,48.9
10175,2022,2,16.2,0,83.1
10175,2023,2,16.1,1,61.1
10175,2024,3,6.8,1,69.8
10175,2025,1,1.7,1,46.1
10176,2022,3,20.1,1,66.9
10176,2023,1,4.9,1,74.7
10176,2024,3,16.4,0,53.7
10176,2025,2,11.6,0,92.8
10177,2022,3,21.4,1,42.2
10177,2023,1,7.6,0,86.8
10177,2024,0,12.8,1,78.2
10177,2025,3,12.8,0,88.9
10178,2022,0,6.5,0,71.9
10178,2023,2,18.3,0,58.7
10178,2024,3,9.8,0,55.9
10178,2025,0,3.1,0,83.0
10179,2022,3,12.7,0,47.9
10179,2023,3,5.5,1,36.7
10179,2024,2,19.8,0,50.8
10179,2025,1,9.6,1,84.3
10180,2022,1,7.8,1,77.6
10180,2023,3,8.5,1,49.6
10180,2024,2,16.5,1,55.7
10180,2025,3,16.2,0,72.0
10181,2022,2,5.8,0,45.7
10181,2023,1,4.7,1,69.4
10181,2024,2,20.3,0,52.9
10181,2025,3,7.1,1,46.3
10182,2022,0,8.9,0,39.3
10182,2023,0,6.0,0,48.0
10182,2024,3,11.5,1,46.1
10182,2025,0,15.9,0,97.5
10183,2022,3,15.4,0,69.5
10183,2023,3,3.9,1,43.8
10183,2024,1,11.7,1,61.4
10183,2025,1,6.7,1,55.1
10184,2022,1,18.7,0,71.1
10184,2023,3,14.0,1,85.0
10184,2024,2,21.3,0,60.0
10184,2025,3,12.5,1,64.7
10185,2022,1,17.6,0,53.9
10185,2023,1,13.9,0,60.0
10185,2024,0,8.2,1,38.2
10185,2025,1,13.1,0,74.6
10186,2022,2,11.7,1,87.1
10186,2023,3,17.8,0,80.1
10186,2024,2,6.7,0,87.7
10186,2025,3,7.9,1,52.7
10187,2022,0,16.7,0,66.4
10187,2023,0,16.1,0,86.6
10187,2024,2,15.4,0,40.1
10187,2025,0,14.5,1,91.6
10188,2022,3,11.4,0,33.9
10188,2023,0,21.4,1,92.0
10188,2024,3,2.6,0,41.0
10188,2025,3,4.3,1,61.1
10189,2022,2,6.4,1,33.3
10189,2023,3,16.9,0,36.4
10189,2024,0,7.5,0,88.0
10189,2025,2,4.5,0,42.8
10190,2022,3,14.6,0,77.6
10190,2023,3,15.9,1,87.4
10190,2024,3,14.4,0,92.1
10190,2025,2,11.6,1,90.8
10191,2022,3,24.8,1,87.3
10191,2023,2,20.7,0,36.1
10191,2024,0,6.8,1,95.8
10191,2025,2,15.7,1,40.2
10192,2022,1,16.4,1,40.0
10192,2023,1,4.9,0,37.9
10192,2024,3,3.0,1,80.6
10192,2025,3,16.5,1,44.2
10193,2022,1,15.9,1,47.6
10193,2023,0,14.9,1,71.3
10193,2024,2,8.7,1,65.9
