Village_ID,Year,Irrigated_Area_Hectares,Crop_Yield_MT_per_Hec,Fertilizer_Usage_Tons,Tractor_Availability
10036,2023,284,2.92,35,3
10036,2024,323,1.83,85,14
10036,2025,456,2.11,29,6
10037,2022,591,3.51,50,10
10037,2023,697,4.46,67,3
10037,2024,677,2.47,63,4
10037,2025,213,2.23,38,2
10038,2022,477,2.14,57,7
10038,2023,384,2.29,86,4
10038,2024,196,2.68,99,11
10038,2025,223,2.23,31,1
10039,2022,255,2.21,81,4
10039,2023,209,4.41,80,4
10039,2024,152,4.47,14,11
10039,2025,273,2.9,61,3
10040,2022,778,4.49,10,8
10040,2023,687,2.55,54,7
10040,2024,413,3.97,49,10
10040,2025,793,3.88,73,10
10041,2022,489,1.69,20,3
10041,2023,144,2.68,61,4
10041,2024,762,4.65,16,8
10041,2025,216,2.1,60,13
10042,2022,221,2.02,30,10
10042,2023,581,4.56,48,3
10042,2024,269,1.92,53,5
10042,2025,777,3.29,66,5
10043,2022,499,4.26,50,5
10043,2023,760,4.48,48,5
10043,2024,599,4.74,29,9
10043,2025,173,3.39,31,10
10044,2022,248,1.76,38,13
10044,2023,636,3.97,55,5
10044,2024,160,3.93,77,11
10044,2025,153,3.69,12,14
10045,2022,322,4.16,82,11
10045,2023,572,4.38,14,14
10045,2024,415,3.85,65,9
10045,2025,269,2.29,76,13
10046,2022,131,1.79,98,9
10046,2023,152,2.88,41,14
10046,2024,238,2.68,91,11
10046,2025,473,2.35,50,14
10047,2022,146,3.33,38,10
10047,2023,189,3.7,75,12
10047,2024,135,3.89,20,4
10047,2025,324,2.48,68,14
10048,2022,653,2.42,13,9
10048,2023,368,2.25,63,11
10048,2024,285,3.6,76,12
10048,2025,470,3.65,11,13
10049,2022,334,3.01,87,2
10049,2023,221,2.54,57,3
10049,2024,523,2.51,77,1
10049,2025,488,4.62,53,11
10050,2022,216,1.65,71,7
10050,2023,565,3.62,92,10
10050,2024,528,1.86,28,14
10050,2025,541,2.53,53,11
10051,2022,138,2.37,40,14
10051,2023,261,4.31,71,9
10051,2024,720,2.21,24,13
10051,2025,625,4.76,38,3
10052,2022,265,3.95,76,8
10052,2023,544,3.69,92,1
10052,2024,542,3.04,95,6
10052,2025,430,4.67,56,6
10053,2022,434,3.08,93,5
10053,2023,211,2.76,16,4
10053,2024,238,3.56,77,3
10053,2025,265,2.65,10,13
10054,2022,513,2.32,80,14
10054,2023,268,4.41,31,4
10054,2024,223,4.18,66,7
10054,2025,649,3.49,82,14
10055,2022,197,2.75,67,7
10055,2023,159,4.07,36,3
10055,2024,118,3.51,47,11
10055,2025,223,3.2,96,10
10056,2022,325,3.05,85,3
10056,2023,711,2.35,22,3
10056,2024,423,2.41,24,5
10056,2025,116,4.92,89,1
10057,2022,179,4.41,82,10
10057,2023,696,2.91,57,11
10057,2024,555,3.35,24,13
10057,2025,640,4.43,49,14
10058,2022,745,3.68,39,14
10058,2023,730,1.95,32,7
10058,2024,477,2.92,18,13
10058,2025,290,2.7,41,8
10059,2022,764,4.48,44,7
10059,2023,590,3.9,58,8
10059,2024,504,1.94,54,9
10059,2025,371,4.65,25,4
10060,2022,743,4.28,41,3
10060,2023,529,2.65,34,7
10060,2024,619,3.73,46,12
10060,2025,745,4.0,46,9
10061,2022,483,3.69,44,13
10061,2023,291,3.73,54,12
10061,2024,702,3.48,17,9
10061,2025,534,4.81,56,12
10062,2022,162,3.04,45,8
10062,2023,315,1.98,98,14
10062,2024,233,2.04,91,13
10062,2025,718,2.01,19,3
10063,2022,260,2.78,10,6
10063,2023,357,2.47,77,14
10063,2024,524,4.49,99,2
10063,2025,627,4.55,84,6
10064,2022,457,4.01,24,5
10064,2023,474,4.25,88,4
10064,2024,670,2.69,96,3
10064,2025,108,3.23,12,8
10065,2022,296,2.44,41,10
10065,2023,216,1.91,29,6
10065,2024,109,4.57,65,9
10065,2025,618,3.8,87,3
10066,2022,448,1.9,51,5
10066,2023,503,2.27,82,4
10066,2024,734,3.15,69,6
10066,2025,674,2.11,65,2
10067,2022,103,2.32,56,6
10067,2023,427,3.76,33,3
10067,2024,611,4.56,50,8
10067,2025,229,4.74,13,10
10068,2022,686,3.06,85,10
10068,2023,583,2.59,60,11
10068,2024,457,4.56,97,6
10068,2025,484,4.31,10,12
10069,2022,353,3.26,23,8
10069,2023,266,4.15,19,7
10069,2024,779,3.18,45,6
10069,2025,568,2.29,51,9
10070,2022,592,4.31,57,11
10070,2023,437,3.25,27,9
10070,2024,150,3.89,98,10
10070,2025,155,3.13,85,10
10071,2022,172,1.91,69,4
10071,2023,699,2.47,37,8
10071,2024,151,1.93,62,3
10071,2025,224,2.21,18,14
10072,2022,361,2.11,33,11
10072,2023,674,3.33,29,5
10072,2024,647,4.78,99,12
10072,2025,620,4.48,78,3
10073,2022,429,1.76,36,10
10073,2023,422,4.18,49,4
10073,2024,340,3.41,80,5
10073,2025,384,3.93,92,13
10074,2022,701,1.89,63,8
10074,2023,363,2.84,95,14
10074,2024,398,4.45,91,10
10074,2025,304,3.23,24,8
10075,2022,390,1.88,60,14
10075,2023,310,2.58,78,3
10075,2024,465,2.46,49,8
10075,2025,563,4.01,78,10
10076,2022,421,4.23,52,13
10076,2023,457,3.85,73,4
10076,2024,193,4.33,16,11
10076,2025,268,4.37,11,2
10077,2022,396,1.54,39,14
10077,2023,615,2.02,84,3
10077,2024,197,3.07,61,8
10077,2025,449,2.29,42,12
10078,2022,678,3.7,18,5
10078,2023,749,1.86,20,2
10078,2024,500,3.05,85,7
10078,2025,550,3.13,19,5
10079,2022,574,3.13,63,6
10079,2023,518,3.54,84,14
10079,2024,103,4.64,29,2
10079,2025,423,2.76,14,11
10080,2022,468,3.5,33,7
10080,2023,713,1.76,41,1
10080,2024,494,1.8,40,10
10080,2025,655,2.03,53,10
10081,2022,218,2.85,87,5
10081,2023,799,3.32,28,9
10081,2024,289,1.82,33,7
10081,2025,721,3.14,21,14
10082,2022,515,1.62,59,9
10082,2023,205,3.61,94,9
10082,2024,264,3.69,34,1
10082,2025,737,4.3,60,8
10083,2022,445,3.14,23,12
10083,2023,197,3.52,81,7
10083,2024,585,2.64,38,11
10083,2025,430,2.21,34,2
10084,2022,469,3.71,96,3
10084,2023,541,3.49,68,6
10084,2024,219,4.61,66,11
10084,2025,398,4.92,21,11
10085,2022,242,4.04,59,3
10085,2023,741,4.61,21,8
10085,2024,715,3.74,91,4
10085,2025,192,2.23,57,13
10086,2022,396,1.77,59,7
10086,2023,546,4.07,28,4
10086,2024,579,2.51,62,2
10086,2025,357,2.13,44,7
10087,2022,621,2.92,36,8
10087,2023,782,2.59,76,1
10087,2024,474,3.56,86,5
10087,2025,526,3.75,60,10
10088,2022,200,3.54,28,14
10088,2023,721,3.38,52,8
10088,2024,343,2.94,44,1
10088,2025,122,2.02,24,12
10089,2022,453,4.22,25,3
10089,2023,565,2.63,78,2
10089,2024,324,3.32,80,14
10089,2025,543,3.62,94,3
10090,2022,368,2.44,50,3
10090,2023,632,2.58,63,3
10090,2024,413,2.58,74,13
10090,2025,219,2.68,98,1
10091,2022,580,1.59,39,3
10091,2023,219,4.52,28,14
10091,2024,235,3.59,97,2
10091,2025,176,2.27,55,13
10092,2022,453,3.28,69,9
10092,2023,157,2.35,88,10
10092,2024,185,2.73,33,8
10092,2025,100,4.35,45,13
10093,2022,176,4.16,58,13
10093,2023,621,3.75,68,6
10093,2024,543,4.6,23,7
10093,2025,680,4.67,95,14
10094,2022,247,3.15,48,1
10094,2023,673,4.37,17,7
10094,2024,624,3.43,57,8
10094,2025,285,2.26,89,8
10095,2022,776,3.99,90,6
10095,2023,621,2.04,78,7
10095,2024,261,2.75,50,11
10095,2025,389,3.09,44,2
10096,2022,520,3.92,73,4
10096,2023,295,1.9,62,8
10096,2024,133,3.13,63,11
10096,2025,771,3.26,46,4
10097,2022,696,3.25,61,8
10097,2023,669,2.71,27,10
10097,2024,507,3.53,30,14
10097,2025,396,4.91,51,12
10098,2022,636,1.71,74,4
10098,2023,135,4.27,90,9
10098,2024,363,2.73,17,1
10098,2025,481,3.35,93,6
10099,2022,213,3.72,48,1
10099,2023,716,4.38,70,12
10099,2024,704,1.83,69,6
10099,2025,700,3.94,78,4
10100,2022,542,1.71,68,8
10100,2023,262,3.23,19,13
10100,2024,137,4.05,72,8
10100,2025,191,2.46,79,13
10101,2022,730,3.79,16,9
10101,2023,771,2.58,44,7
10101,2024,200,3.63,51,13
10101,2025,606,3.92,94,11
10102,2022,278,3.45,97,13
10102,2023,383,1.71,38,8
10102,2024,454,2.26,36,13
10102,2025,396,4.52,47,11
10103,2022,634,4.32,11,3
10103,2023,587,3.34,34,10
10103,2024,378,3.59,75,4
10103,2025,643,4.22,47,4
10104,2022,749,2.72,68,6
10104,2023,692,2.63,91,7
10104,2024,454,4.1,16,9
10104,2025,418,2.03,58,14
10105,2022,294,4.16,77,10
10105,2023,192,2.97,50,6
10105,2024,532,3.31,83,2
10105,2025,657,3.85,60,10
10106,2022,126,2.32,33,10
10106,2023,514,3.44,45,7
10106,2024,261,3.88,89,13
10106,2025,200,2.3,19,10
10107,2022,798,3.06,30,14
10107,2023,572,2.64,36,9
10107,2024,257,3.47,64,8
10107,2025,591,2.01,94,4
10108,2022,108,3.73,14,2
10108,2023,311,2.16,95,8
10108,2024,538,3.87,68,6
10108,2025,778,4.26,45,12
10109,2022,210,3.76,83,8
10109,2023,302,4.1,43,11
10109,2024,164,2.72,61,9
10109,2025,260,4.85,15,3
10110,2022,513,1.57,23,8
10110,2023,744,3.09,68,14
10110,2024,789,2.61,66,10
10110,2025,365,4.17,46,8
10111,2022,671,3.92,67,5
10111,2023,304,4.12,92,6
10111,2024,766,2.69,41,5
10111,2025,683,2.77,29,6
10112,2022,255,3.53,94,1
10112,2023,272,4.43,88,10
10112,2024,407,2.56,90,10
10112,2025,549,4.68,70,10
10113,2022,161,3.27,66,2
10113,2023,472,3.86,61,8
10113,2024,559,3.12,97,14
10113,2025,574,4.37,94,1
10114,2022,480,4.41,57,9
10114,2023,671,2.16,88,7
10114,2024,185,2.96,20,1
10114,2025,242,4.54,39,14
10115,2022,106,2.03,69,5
10115,2023,394,2.89,27,2
10115,2024,790,2.3,86,14
10115,2025,618,3.9,83,11
10116,2022,751,2.21,56,12
10116,2023,625,2.79,21,1
10116,2024,133,3.27,59,1
10116,2025,428,2.84,49,14
10117,2022,708,3.54,99,13
10117,2023,737,1.98,73,5
10117,2024,133,4.44,28,4
10117,2025,505,3.39,96,5
10118,2022,117,3.22,36,6
10118,2023,529,3.52,61,1
10118,2024,527,1.98,89,2
10118,2025,392,4.22,16,2
10119,2022,679,4.34,72,5
10119,2023,179,3.21,86,12
10119,2024,185,2.97,64,10
10119,2025,671,4.3,85,9
10120,2022,147,3.66,40,7
10120,2023,790,3.6,20,10
10120,2024,183,4.7,26,4
10120,2025,706,3.7,75,5
10121,2022,407,2.25,76,11
10121,2023,351,1.72,41,7
10121,2024,580,3.16,33,14
10121,2025,279,3.91,97,10
10122,2022,695,2.02,22,9
10122,2023,409,1.73,31,12
10122,2024,525,4.53,28,10
10122,2025,585,2.86,62,7
10123,2022,761,2.9,48,11
10123,2023,138,1.92,30,13
10123,2024,378,2.94,96,2
10123,2025,724,3.22,25,4
10124,2022,475,4.21,16,10
10124,2023,738,4.25,93,13
10124,2024,140,2.37,87,4
10124,2025,769,3.62,35,14
10125,2022,146,3.69,95,11
10125,2023,583,2.53,99,9
10125,2024,284,2.98,85,8
10125,2025,171,4.9,40,6
10126,2022,668,3.78,77,8
10126,2023,673,2.96,49,7
10126,2024,441,3.4,36,8
10126,2025,668,3.83,18,13
10127,2022,342,3.0,85,7
10127,2023,427,2.88,25,2
10127,2024,735,2.88,81,11
10127,2025,252,2.46,22,12
10128,2022,354,4.42,87,6
10128,2023,523,1.92,69,4
10128,2024,331,3.6,88,4
10128,2025,628,4.83,69,10
10129,2022,691,2.62,18,6
10129,2023,595,2.41,62,8
10129,2024,275,4.67,41,5
10129,2025,650,4.36,95,14
10130,2022,242,3.47,64,3
10130,2023,116,3.49,34,12
10130,2024,348,2.88,50,1
10130,2025,134,3.87,35,5
10131,2022,245,3.68,38,3
10131,2023,264,1.75,91,3
10131,2024,210,2.15,45,4
10131,2025,746,2.9,93,9
10132,2022,173,2.47,93,4
10132,2023,767,4.35,12,5
10132,2024,453,3.85,68,10
10132,2025,373,3.07,43,5
10133,2022,378,3.93,15,1
10133,2023,759,2.62,40,7
10133,2024,130,4.77,41,2
10133,2025,625,4.29,51,6
10134,2022,634,3.93,66,14
10134,2023,609,2.43,82,11
10134,2024,613,2.24,55,4
10134,2025,277,3.12,97,14
10135,2022,428,2.5,65,5
10135,2023,670,3.96,59,12
10135,2024,787,2.32,95,5
10135,2025,271,3.53,39,4
10136,2022,495,3.38,45,14
10136,2023,694,2.81,35,2
10136,2024,134,2.4,59,12
10136,2025,396,4.64,11,8
10137,2022,568,1.92,16,1
10137,2023,594,2.56,36,9
10137,2024,721,4.07,89,6
10137,2025,334,3.77,58,4
10138,2022,138,3.69,55,6
10138,2023,318,4.08,94,11
10138,2024,316,4.49,35,9
10138,2025,774,2.86,91,13
10139,2022,727,2.92,74,14
10139,2023,772,3.71,11,12
10139,2024,700,4.18,87,12
10139,2025,519,3.68,88,9
10140,2022,752,3.04,73,3
10140,2023,273,3.73,73,13
10140,2024,212,2.95,97,8
10140,2025,273,4.63,69,1
10141,2022,173,2.14,98,9
10141,2023,736,4.3,18,7
10141,2024,635,3.73,24,14
10141,2025,131,3.75,46,10
10142,2022,353,2.91,15,7
10142,2023,596,2.11,52,6
10142,2024,212,4.39,54,1
10142,2025,294,2.11,85,13
10143,2022,627,2.31,80,2
10143,2023,540,1.98,37,11
10143,2024,588,2.12,61,3
10143,2025,596,3.12,85,1
10144,2022,719,1.98,44,5
10144,2023,123,3.39,75,11
10144,2024,389,3.68,35,5
10144,2025,407,4.6,29,6
10145,2022,403,2.4,98,14
10145,2023,730,2.58,71,13
10145,2024,792,2.54,94,7
10145,2025,137,4.3,10,10
10146,2022,485,2.78,62,9
10146,2023,680,3.31,86,13
10146,2024,181,2.92,39,7
10146,2025,217,2.42,69,13
10147,2022,149,1.81,19,6
10147,2023,768,4.25,31,13
10147,2024,173,2.6,38,9
10147,2025,794,4.77,78,2
10148,2022,205,4.34,17,6
10148,2023,698,3.09,62,5
10148,2024,425,4.68,20,12
10148,2025,783,2.04,35,6
10149,2022,455,1.77,28,10
10149,2023,567,2.38,28,1
10149,2024,755,2.43,39,11
10149,2025,383,2.71,45,5
10150,2022,284,2.86,51,12
10150,2023,253,1.84,65,8
10150,2024,217,3.47,18,3
10150,2025,366,2.88,16,14
10151,2022,484,1.71,27,3
10151,2023,354,3.91,18,13
10151,2024,340,3.76,15,13
10151,2025,270,4.33,79,11
10152,2022,716,4.32,54,7
10152,2023,647,3.41,31,7
10152,2024,677,4.16,90,12
10152,2025,284,2.55,88,2
10153,2022,766,2.73,82,13
10153,2023,509,3.24,79,8
10153,2024,752,3.42,96,5
10153,2025,687,4.11,90,9
10154,2022,245,3.89,41,13
10154,2023,137,3.65,76,1
10154,2024,589,1.94,25,11
10154,2025,361,3.0,11,4
10155,2022,225,3.22,76,8
10155,2023,703,3.17,50,9
10155,2024,444,1.93,60,9
10155,2025,360,4.89,23,10
10156,2022,542,4.37,87,11
10156,2023,207,3.97,58,1
10156,2024,656,1.97,58,1
10156,2025,536,3.24,36,7
10157,2022,613,2.73,90,11
10157,2023,189,3.32,48,13
10157,2024,314,1.97,82,12
10157,2025,726,3.22,45,6
10158,2022,418,3.77,19,14
10158,2023,703,4.64,13,7
10158,2024,797,3.59,94,8
10158,2025,769,4.77,11,11
10159,2022,156,4.5,88,6
10159,2023,658,2.95,37,10
10159,2024,501,3.81,98,14
10159,2025,321,2.59,35,10
10160,2022,574,2.93,82,12
10160,2023,207,1.89,39,10
10160,2024,279,1.89,18,7
10160,2025,276,4.63,10,11
10161,2022,586,4.08,65,7
10161,2023,513,2.59,65,7
10161,2024,791,3.17,85,13
10161,2025,136,3.43,70,14
10162,2022,674,3.06,54,2
10162,2023,367,2.05,22,3
10162,2024,487,4.13,23,10
10162,2025,453,2.99,19,9
10163,2022,369,1.6,26,1
10163,2023,368,3.68,26,13
10163,2024,541,4.29,40,8
10163,2025,404,4.7,55,7
10164,2022,345,3.52,58,6
10164,2023,277,2.22,99,1
10164,2024,166,3.57,84,9
10164,2025,376,4.69,89,2
10165,2022,307,2.55,27,10
10165,2023,406,4.51,84,12
10165,2024,649,2.09,20,5
10165,2025,730,4.13,82,9
10166,2022,637,1.86,98,12
10166,2023,617,4.05,64,8
10166,2024,373,2.09,12,10
10166,2025,332,2.93,87,14
10167,2022,213,3.83,98,4
10167,2023,233,3.03,25,8
10167,2024,524,4.45,18,9
10167,2025,789,3.16,77,12
10168,2022,124,4.48,54,11
10168,2023,659,1.71,11,5
10168,2024,379,3.89,98,1
10168,2025,442,4.7,31,11
10169,2022,171,3.11,78,6
10169,2023,300,4.62,58,4
10169,2024,425,3.92,30,6
10169,2025,132,3.24,83,1
10170,2022,196,3.05,96,4
10170,2023,656,4.28,64,5
10170,2024,362,4.67,13,6
10170,2025,169,3.62,67,14
10171,2022,392,2.42,79,5
10171,2023,306,2.37,68,2
10171,2024,271,3.23,35,3
10171,2025,494,2.84,83,5
10172,2022,355,2.76,78,11
10172,2023,363,4.15,48,7
10172,2024,363,3.22,10,4
10172,2025,616,3.87,66,11
10173,2022,109,1.77,57,6
10173,2023,370,3.94,81,9
10173,2024,411,3.25,30,10
10173,2025,469,3.03,40,7
10174,2022,666,3.33,67,3
10174,2023,652,1.96,56,11
10174,2024,749,3.04,32,5
10174,2025,490,4.38,84,9
10175,2022,214,2.29,89,5
10175,2023,674,4.39,16,3
10175,2024,443,3.61,58,8
10175,2025,509,3.57,97,7
10176,2022,645,2.7,40,12
10176,2023,477,3.88,56,5
10176,2024,555,3.49,77,5
10176,2025,522,4.34,44,1
10177,2022,543,2.5,84,8
10177,2023,296,3.76,43,6
10177,2024,462,4.63,67,5
10177,2025,509,2.79,24,13
10178,2022,673,4.44,87,7
10178,2023,493,2.88,94,2
10178,2024,608,1.92,80,3
10178,2025,665,3.02,90,9
10179,2022,770,1.95,51,5
10179,2023,393,2.56,27,6
10179,2024,124,2.09,87,8
10179,2025,336,2.48,47,14
10180,2022,560,1.88,73,3
10180,2023,420,1.78,38,1
10180,2024,199,2.69,19,14
10180,2025,789,4.77,26,13
10181,2022,507,4.35,41,4
10181,2023,254,4.19,70,14
10181,2024,533,1.84,93,2
10181,2025,533,2.03,90,9
10182,2022,242,1.53,55,4
10182,2023,628,2.75,80,9
10182,2024,384,4.74,65,7
10182,2025,104,4.64,70,7
10183,2022,622,2.25,53,1
10183,2023,535,2.88,47,2
10183,2024,517,4.27,59,7
10183,2025,180,4.23,83,12
10184,2022,644,1.9,41,5
10184,2023,476,1.97,99,7
10184,2024,258,3.43,62,3
10184,2025,726,2.26,57,8
10185,2022,316,3.98,90,4
10185,2023,769,2.41,10,8
10185,2024,144,2.36,99,6
10185,2025,731,2.51,39,9
10186,2022,314,1.64,18,6
10186,2023,610,3.58,42,4
10186,2024,227,2.29,35,3
10186,2025,353,2.65,51,14
10187,2022,649,3.75,83,4
10187,2023,451,1.82,51,11
10187,2024,705,2.41,48,7
10187,2025,640,2.4,70,8
10188,2022,263,1.51,56,2
10188,2023,748,3.27,51,9
10188,2024,634,2.37,57,7
10188,2025,230,3.85,61,7
10189,2022,697,3.01,42,13
10189,2023,795,3.65,36,12
10189,2024,603,4.74,52,10
10189,2025,523,2.61,38,14
10190,2022,283,3.5,28,4
10190,2023,770,4.15,91,7
10190,2024,622,4.67,37,2
10190,2025,653,3.82,19,11
10191,2022,334,1.89,76,10
10191,2023,230,1.81,25,14
10191,2024,796,2.64,10,14
10191,2025,113,4.73,91,3
10192,2022,758,3.11,13,2
10192,2023,479,3.39,78,12
10192,2024,159,3.63,94,5
10192,2025,391,2.95,13,1
10193,2022,259,2.04,29,14
10193,2023,546,4.51,72,13
10193,2024,637,4.07,92,2
10193,2025,676,3.48,44,11
10194,2022,485,2.63,54,6
10194,2023,169,3.1,66,6
10194,2024,481,1.9,33,12
10194,2025,784,2.69,29,8
10195,2022,324,2.25,37,9
10195,2023,607,2.99,47,9
10195,2024,764,2.51,33,7
10195,2025,139,2.51,93,12
10196,2022,245,3.8,33,10
10196,2023,465,4.33,79,1
10196,2024,709,2.0,34,4
10196,2025,347,2.58,90,7
10197,2022,111,3.82,90,2
10197,2023,635,4.1,78,12
10197,2024,609,3.3,26,9
10197,2025,344,4.03,67,13
10198,2022,270,1.73,82,1
10198,2023,131,4.2,29,9
10198,2024,725,4.3,11,7
10198,2025,528,4.03,92,13
10199,2022,134,4.25,18,10
10199,2023,304,1.79,72,6
10199,2024,483,2.49,92,14
10199,2025,365,3.04,77,12
10200,2022,676,1.98,15,7
10200,2023,542,4.09,20,2
10200,2024,709,4.07,30,10
10200,2025,796,4.27,72,12
10201,2022,584,2.37,98,2
10201,2023,569,3.94,39,14
10201,2024,365,2.17,91,3
10201,2025,208,2.27,98,6
10202,2022,588,3.25,30,1
10202,2023,277,1.8,32,11
10202,2024,348,4.62,70,4
10202,2025,104,2.94,39,8
10203,2022,256,2.93,55,8
10203,2023,329,4.09,69,14
10203,2024,727,3.0,27,5
10203,2025,360,3.24,71,7
10204,2022,420,2.54,54,5
10204,2023,226,2.71,70,4
10204,2024,127,3.2,68,6
10204,2025,609,4.79,44,14
10205,2022,327,4.31,31,8
10205,2023,740,3.29,33,12
10205,2024,640,3.17,96,10
10205,2025,278,4.37,60,1
10206,2022,775,3.54,74,3
10206,2023,771,4.29,24,4
10206,2024,387,3.99,37,5
10206,2025,593,4.81,51,1
10207,2022,364,4.16,29,9
10207,2023,566,4.22,52,8
10207,2024,494,2.97,89,2
10207,2025,531,3.11,78,5
10208,2022,534,3.72,72,9
10208,2023,487,1.9,52,13
10208,2024,636,2.77,88,3
10208,2025,244,4.75,11,5
10209,2022,274,2.85,97,9
10209,2023,619,2.46,86,6
10209,2024,413,3.23,32,13
10209,2025,720,2.82,21,5
10210,2022,228,3.8,55,8
10210,2023,613,4.2,42,14
10210,2024,109,4.15,53,5
10210,2025,446,2.4,34,9
10211,2022,216,2.51,44,11
10211,2023,510,2.29,44,13
10211,2024,496,1.93,74,3
10211,2025,110,4.17,52,1
10212,2022,497,2.79,77,4
10212,2023,707,2.48,71,7
10212,2024,192,2.72,40,13
10212,2025,201,2.36,37,3
10213,2022,197,3.98,20,13
10213,2023,381,2.08,41,10
10213,2024,767,2.81,75,8
10213,2025,756,1.97,69,2
10214,2022,520,2.81,60,9
10214,2023,463,2.71,68,14
10214,2024,310,3.96,86,3
10214,2025,766,4.1,26,11
10215,2022,607,1.62,77,14
10215,2023,175,2.0,47,6
10215,2024,422,4.51,73,7
10215,2025,551,4.33,12,5
10216,2022,786,2.67,63,10
10216,2023,722,2.15,85,13
10216,2024,117,2.58,53,5
10216,2025,390,3.92,91,14
10217,2022,297,4.34,39,1
10217,2023,261,3.5,84,4
10217,2024,516,1.88,97,1
